staytract_asian_female_mean_se
""
0.058412556
""
""
""
""
""
0.03893064
""
""
""
""
""
""
""
0.068947583
""
""
""
""
""
""
0.039236225
""
""
""
""
0.038785771
""
""
""
""
""
""
0.064387776
""
0.0220851
""
""
""
0.04229391
0.062537804
""
""
0.01818176
""
""
""
0.024441125
""
0.029464858
0.037771255
""
""
""
""
""
""
0.033390116
""
0.059840571
""
0.033105679
""
""
""
""
""
""
0.014226903
""
""
""
""
0.045046028
""
""
0.062978253
""
0.074408099
0.045912817
""
""
0.10521516
""
""
""
""
""
""
""
""
""
""
""
""
""
0.032931235
0.06387651
0.049503073
""
""
""
0.0066480348
0.029711375
""
0.013602213
0.047801696
""
0.028391579
0.034781888
""
""
""
0.026540278
""
""
""
""
""
""
""
""
""
""
""
""
0.071290754
""
""
""
""
""
0.083122678
""
""
0.061574142
""
""
""
""
""
""
""
""
0.041155718
""
""
""
""
""
""
""
0.074190587
""
""
""
""
""
""
""
""
""
""
""
""
""
""
0.085966684
""
0.023252895
""
""
0.087496296
""
""
0.022769094
""
""
""
""
""
0.04005298
0.10795543
""
""
0.0040916535
""
""
0.024941765
""
""
0.0058596511
0.066051118
0.028028134
0.0070693139
0.080112979
0.030690538
0.028990472
""
0.011236054
0.02171874
0.077000655
""
0.002047803
0.032068048
0.017280651
""
0.068635434
0.014242282
""
""
0.011813045
0.024620501
0.061629284
0.0033750124
0.017753957
""
0.0064917761
0.0053961561
0.036409609
0.006056698
0.0041007921
0.0048689051
0.0070395744
0.022773996
0.0057233414
0.015398615
0.0034358818
0.023317313
0.030373454
""
0.078590907
0.0076391236
0.014809961
0.011391388
0.020498715
0.066606179
""
0.018242517
0.079509802
0.0088765109
0.017518427
0.025135424
0.015816115
""
0.010900849
""
""
""
0.020982893
0.030863382
""
""
""
""
""
""
""
""
0.015260369
""
0.021989737
""
""
0.013745151
0.061371326
""
""
""
""
""
""
""
0.013946099
""
""
""
""
0.028716778
""
""
""
0.050977509
""
""
""
""
""
""
""
""
""
""
""
0.041785333
""
""
""
""
""
""
""
""
""
""
0.033673082
""
0.011406089
0.012644248
0.040990155
0.028806407
0.014516606
0.023238173
0.033199772
0.064931564
0.031428713
0.016167173
0.033508457
0.018005054
0.023371501
""
0.02679419
""
0.018602073
0.0094893118
""
0.034230702
0.058239654
0.025544031
0.043830112
""
""
""
0.01169251
0.019615874
0.061239857
""
""
""
""
""
""
""
""
0.047194794
0.038573381
0.011870194
""
0.04037293
""
""
""
0.038136214
0.024066009
0.021865604
""
""
""
0.027161187
0.031470541
0.038670592
0.010459927
0.051495396
0.10993122
0.023833202
""
0.010066187
0.026130784
0.012784325
0.020801222
0.013708604
0.017142702
