staycz_white_pooled_n
40469
18266
4251
51796
28177
4432
56332
5753
3974
21186
26225
78838
4029
10161
25171
2899
2194
25419
3601
3263
27925
28299
20299
8850
69207
2033
10402
29011
65549
5802
6441
14188
54251
32993
3952
32589
6116
9140
1255
1309
25021
5017
2734
1402
3300
3552
66357
18614
44979
11577
23197
34432
14187
936
1656
27099
4095
1427
1394
7817
5000
40450
2251
6956
9952
8199
2728
5101
6017
8479
3296
5074
4217
12142
5624
3440
11438
8888
3538
54251
6084
12916
7155
13774
84355
10806
11471
16240
33732
21061
15725
6649
7666
33889
7408
2827
14889
28056
132922
35558
46943
97423
75312
39220
42819
93355
37531
77123
8654
24246
16862
10974
35060
2237
33950
55312
27877
1731
1659
1812
12347
6700
5421
6329
4947
21827
20860
5577
3414
3568
172456
8356
11487
5493
18459
8477
31709
14832
2279
6180
21151
14468
1751
3196
8000
1907
14747
7892
4255
4179
10234
57968
12048
1788
46458
33244
3554
19882
4600
12080
1659
4894
19460
129985
2309
198751
10369
10541
3466
27012
306263
33753
11514
43994
11239
4994
38694
98954
13413
7309
8257
9836
93583
10949
9535
147098
4118
13556
37507
2984
6788
16268
77595
4388
6067
14885
23159
24331
64675
9210
50740
33094
12093
16778
32042
46598
104374
14251
21267
26536
20617
32328
4702
4720
46803
58376
35584
168114
16579
16944
9758
15187
18944
10562
112532
28894
21213
31791
167902
60403
51875
28460
3813
17667
3121
9729
3875
23333
1883
10956
25295
11686
13129
31379
11109
9489
16614
79432
11938
22982
153305
27558
16607
3680
19425
11746
8165
69196
14610
58097
17987
43526
81278
76995
51965
317906
72887
237674
297138
36254
25839
9773
1525
21087
2121
5288
51469
22650
7064
18694
96146
483
388
261155
92941
8981
40854
185889
12025
4175
3452
2484
5589
8661
5615
7075
3032
14315
10586
25041
202803
4397
12718
20885
6488
7511
7004
10174
19500
3036
15582
21535
12969
17805
48177
26220
5702
35035
26952
19097
11700
43803
15948
8177
9486
16384
27039
12488
11497
31938
6993
43825
46779
109118
10442
359410
49091
8982
12378
162398
3259
7070
21546
32543
13030
4445
7891
5963
4305
5126
12452
8328
10893
2355
12616
18378
2797
14341
5978
6758
14589
1905
24892
228
1168
5388
4411
2157
1291
943
2840
2664
11247
222
627
242
1442
694
446
7144
1203
140
92
274
760
59
437
381
760
1234
2855
1705
2487
3528
1542
18022
4149
1830
1505
138
653
4607
8771
2611
2718
10363
17245
1423
3711
256
11986
7655
1393
893
528
1001
4412
2733
2021
1278
677
472
2098
265
8277
5333
6453
5812
6310
5101
5149
9866
46661
3583
3724
5134
15560
85
199
70
89
6047
9759
1869
658
5623
6397
3791
2582
7405
16789
2046
25118
3961
4653
66996
3684
1515
150
673
1139
3906
48703
364
333
10030
1116
847
737
556
1058
1644
825
342
1951
4720
4203
1192
5816
183
2314
34576
147533
2048
84
2881
4517
7460
3941
983
541
2037
1070
1161
6033
2200
1857
11735
24374
40209
7379
4705
5205
4114
12601
9491
124068
14011
7887
3026
1675
22924
6584
37097
11245
21459
4914
10294
21429
7302
26564
5921
60573
3074
2333
8512
18386
4598
442
1799
40
6356
113
5029
16691
4919
1427
16903
4685
562
356
38
2389
3151
1262
821
2133
1327
1465
2043
8772
2506
816
61873
3545
65269
1389
4161
84
17926
1481
510
362
170
317
1033
8098
19442
9749
20750
195896
29576
9739
5050
7250
1253
375
1129
1079
172
2941
1308
1864
14345
530
760
11329
2170
345
1477
4120
3696
15783
5522
19436
114517
165717
13065
26920
19532
14438
11871
3630
487
7473
4589
5144
76189
4093
12101
13559
5464
28
24365
309
25
28
97
51
738
2308
751
985
98
62
30
7020
1617
1345
8811
1224
3739
1484
3035
3886
1327
45
357
13856
100
911
7081
6510
4886
652
1688
9536
11041
5296
1283
8305
90
18322
791
2629
933
6045
487
275
1970
31770
488
174394
1905
46742
15831
865
9889
17704
2148
4669
2483
10286
3962
40855
5250
581
13647
4690
872
2599
120
42321
139203
17358
29531
982
760
2837
4083
1678
9251
10917
552
716
17535
8414
21157
3173
13261
38040
32701
50827
23859
130549
80461
4573
1652
1073
30755
34765
152544
79322
113
1403
110682
7123
31093
434261
7494
4445
5651
7175
47920
6212
18571
127861
4733
70893
5656
14841
25350
4211
612
13173
136
520
658
12357
7016
230437
