kfr_imm_hisp_female_n
""
""
""
""
50.0
""
68.0
""
""
24.0
24.0
157.0
""
""
24.0
""
""
""
""
""
20.0
149.0
""
""
190.0
""
34.0
49.0
169.0
""
""
""
104.0
79.0
""
36.0
""
""
""
""
""
""
""
""
""
""
349.0
""
38.0
""
39.0
21.0
""
""
""
""
""
""
""
""
""
41.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
74.0
""
""
""
""
92.0
""
""
39.0
40.0
24.0
""
""
""
""
""
""
""
81.0
1182.0
331.0
204.0
8908.0
948.0
349.0
178.0
1667.0
208.0
238.0
20.0
96.0
60.0
""
60.0
""
55.0
67.0
54.0
""
""
""
29.0
""
""
40.0
""
47.0
25.0
""
""
""
608.0
""
""
""
84.0
""
41.0
71.0
""
""
41.0
22.0
""
""
""
""
29.0
""
""
""
""
28.0
""
""
82.0
""
""
26.0
""
""
""
""
51.0
205.0
""
2193.0
""
""
""
""
352.0
42.0
""
29.0
""
""
62.0
209.0
""
""
""
""
52.0
""
""
52.0
""
""
22.0
""
""
35.0
66.0
""
""
""
""
""
52.0
""
91.0
63.0
""
""
""
55.0
81.0
""
""
41.0
""
""
""
""
276.0
""
76.0
266.0
""
""
""
""
""
""
77.0
""
""
""
38.0
33.0
56.0
21.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
83.0
""
""
302.0
""
""
""
25.0
""
23.0
61.0
""
113.0
""
262.0
348.0
150.0
268.0
11735.0
279.0
4867.0
1242.0
93.0
54.0
""
""
""
""
""
27.0
""
""
""
503.0
""
""
1652.0
108.0
""
359.0
1523.0
""
""
""
""
""
""
""
""
""
""
26.0
""
207.0
""
""
22.0
""
""
""
""
""
""
53.0
""
""
""
53.0
30.0
""
24.0
""
""
""
45.0
""
""
""
""
29.0
""
""
70.0
""
57.0
129.0
398.0
30.0
6500.0
152.0
27.0
""
125.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
22.0
""
""
""
""
""
""
""
40.0
""
""
""
""
""
""
""
""
""
""
""
""
""
20.0
""
""
23.0
49.0
""
32.0
""
""
122.0
""
""
""
""
""
""
155.0
""
""
58.0
""
""
""
""
""
""
""
""
""
""
29.0
""
""
""
""
166.0
894.0
""
""
42.0
""
""
""
""
""
""
""
""
""
""
""
32.0
26.0
117.0
""
""
""
22.0
""
""
256.0
""
""
""
""
""
""
27.0
""
32.0
""
27.0
45.0
""
88.0
""
124.0
""
""
""
3614.0
75.0
""
87.0
""
146.0
""
140.0
114.0
70.0
73.0
186.0
39.0
""
""
""
54.0
73.0
""
""
63.0
29.0
28.0
63.0
75.0
""
""
694.0
""
2006.0
""
33.0
""
463.0
93.0
34.0
66.0
42.0
21.0
938.0
3887.0
371.0
83.0
253.0
5704.0
133.0
78.0
""
120.0
""
""
58.0
218.0
331.0
43.0
""
""
106.0
""
""
48.0
""
""
""
34.0
28.0
156.0
28.0
248.0
1134.0
2704.0
42.0
165.0
60.0
55.0
81.0
""
""
""
""
""
311.0
""
""
""
25.0
""
75.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
211.0
""
""
""
41.0
""
""
""
456.0
""
1993.0
""
1304.0
35.0
""
23.0
51.0
""
21.0
""
50.0
35.0
129.0
40.0
""
""
""
""
""
""
104.0
313.0
35.0
87.0
""
""
""
""
""
""
36.0
""
""
68.0
""
33.0
""
""
1165.0
1255.0
2334.0
228.0
1555.0
2854.0
29.0
""
""
248.0
302.0
3428.0
1222.0
""
""
3691.0
1446.0
700.0
33230.0
""
""
103.0
65.0
36.0
""
""
296.0
42.0
214.0
""
303.0
266.0
""
""
21.0
""
""
""
24.0
""
541.0
