kid_white_male_n
60333
25180
7725
74070
41358
6964
83279
9069
6250
30149
39615
116597
6812
16418
37236
4439
4128
37452
5687
4653
35539
38308
26774
12451
107189
2839
14960
39290
81806
8656
9337
20281
78053
40287
5446
44241
9461
12485
1691
1666
33686
6539
3999
2466
4101
4153
86733
25955
62624
15832
33609
50467
19159
1594
2309
33418
5161
1987
2019
9863
6545
55785
3360
9771
18509
12849
6135
14332
9507
15256
4098
7189
4911
15583
7385
4840
18299
13999
5218
71945
8174
17634
10601
17609
116328
14150
15074
24104
48638
31810
24038
9449
10603
46732
11553
4630
22869
43202
175264
44979
51689
154222
96884
44752
49249
119140
43009
100378
13070
29255
22807
13144
46668
3711
42583
79995
37781
1985
2261
2460
18161
9951
8057
9521
7925
29136
28126
8971
4186
5218
267697
11400
16638
8281
26912
11792
43672
18255
3532
9376
29305
16097
3003
4631
10471
2980
19603
10772
5941
5987
17389
84985
16511
2790
55428
48753
5299
24433
6733
20235
5735
9377
26762
194922
3490
288406
12640
13262
4297
34772
464632
42670
13930
57159
14318
5814
52143
147147
18369
9918
9220
11966
122114
14057
11944
213652
6414
18307
51822
4908
9797
20332
108519
6033
8118
21182
29197
32488
86213
11987
65908
46473
16391
22494
43603
65645
157258
20720
29897
36778
30523
44545
6383
6176
57376
84463
44984
240678
23524
23407
12991
21107
27455
14865
167486
38479
31405
44631
249333
82379
74146
41750
6788
26358
4540
17528
6639
36119
2658
25066
37425
16950
18897
45318
16997
13221
23923
117737
18474
33045
230837
37729
24056
5004
29391
18563
12305
110344
20918
90749
25465
60375
118650
108646
89694
570233
114972
397886
456195
51366
35534
14400
3108
32498
3480
8054
79704
37815
11576
30265
150060
874
1540
447176
145075
13585
58497
300649
18443
5258
4871
3034
6799
10678
6781
9578
4159
16772
13020
33495
305296
5282
15850
28304
7867
8957
9012
12808
24021
3452
20476
30034
17257
22146
66022
35406
7183
45073
35198
26352
14730
60303
20460
10965
12903
21666
35724
15576
14337
39059
8701
56635
62342
144393
13747
546382
64199
12266
17197
219999
4421
9413
28618
42924
17909
6434
11058
8536
5404
7166
16165
11930
14229
2954
16488
25617
4132
20160
8408
9339
22580
2869
30602
441
1658
6555
5458
2617
1582
1454
3485
4083
13615
321
1107
331
2206
815
720
8831
1340
378
384
460
964
190
701
458
1365
1368
3382
2367
2804
4263
1655
24153
5248
2233
2065
259
819
6197
10590
3574
3412
12121
23072
2018
4327
303
14072
9357
1978
1233
752
1232
5933
3463
2285
2320
982
670
2383
304
9990
6172
7619
6792
7179
5744
5982
11826
65088
4219
4360
6223
17784
252
445
153
249
6568
9985
2324
828
7125
7902
4795
3309
9038
20874
2655
32258
4776
5557
87666
4234
1963
246
1059
1740
4302
58451
656
491
12221
1313
1396
797
682
1216
2153
971
638
2314
6578
5217
1440
11285
1250
2669
43432
204087
2103
225
3746
5162
8791
4149
1032
666
2195
1280
1348
7071
2605
2155
13598
31347
58014
8822
5646
6460
4653
14844
9496
174139
18558
9968
3600
2276
30943
9117
51128
16066
29912
7028
16325
32441
9397
39720
6585
82034
4081
2841
10172
17728
5326
710
2634
85
7091
205
6034
18618
5230
1662
19661
5709
749
734
137
2738
4137
1497
1093
2511
1432
2663
2374
11218
3193
1000
87464
4291
78724
1718
4802
283
18466
1480
800
631
254
429
1500
9663
21211
12703
25759
261299
39543
13670
8040
7871
1721
525
1539
1251
204
3099
1529
1730
16686
690
1087
13749
2955
372
1727
5441
4985
21119
8162
24252
151099
226953
18471
37313
25434
20006
14220
4337
730
10591
5904
7244
98098
5441
17470
18873
8835
21
38040
1051
81
63
195
148
1155
3212
1410
1719
188
119
167
10176
2428
1972
10918
1447
4416
1433
3167
4332
1559
165
1179
17276
513
1111
10116
8521
5857
1338
2310
12605
15075
6579
1544
9451
284
14704
1418
3305
1275
8250
643
316
2785
36284
943
239855
3106
56994
19170
1220
11957
22201
3497
8468
3584
13806
4863
58456
6081
1307
18470
7732
953
4012
394
60142
184660
22407
36361
1460
2478
4580
6134
2108
11174
14418
896
794
22947
12150
26343
4025
16730
49625
41871
67230
31803
186673
108477
6750
2388
2393
38241
49186
213736
103802
377
2370
153906
8686
39603
667291
9862
6525
7939
9411
71328
9003
23900
180607
6193
92713
6321
17909
32289
4727
865
16812
398
981
1225
16391
8003
340917
