hours_wk_other_female_n
""
""
""
25.0
""
""
41.0
""
""
""
""
54.0
""
""
""
""
""
""
""
""
""
78.0
""
""
60.0
""
""
40.0
122.0
""
""
""
55.0
62.0
""
29.0
""
""
""
""
""
""
""
""
""
""
86.0
""
""
""
21.0
20.0
""
""
""
26.0
""
""
""
""
""
42.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
43.0
""
""
""
""
56.0
""
""
30.0
33.0
""
""
""
""
22.0
""
""
""
""
120.0
""
34.0
145.0
77.0
20.0
37.0
99.0
""
67.0
""
""
""
""
30.0
""
40.0
24.0
41.0
""
""
""
""
""
""
""
""
""
""
""
""
""
169.0
""
""
""
""
""
22.0
33.0
""
""
""
""
""
""
""
""
""
""
""
""
""
43.0
""
""
82.0
""
""
""
""
""
""
""
21.0
166.0
""
430.0
""
""
""
""
295.0
45.0
""
36.0
""
""
45.0
85.0
""
""
""
""
76.0
""
""
69.0
""
""
32.0
""
""
27.0
59.0
""
""
""
""
""
52.0
""
44.0
29.0
""
""
""
30.0
69.0
""
""
""
""
20.0
""
""
37.0
33.0
42.0
134.0
""
""
""
""
""
""
94.0
""
""
""
120.0
37.0
33.0
20.0
""
""
""
""
""
""
""
""
""
""
""
26.0
""
""
""
46.0
""
""
111.0
21.0
""
""
""
""
""
40.0
""
26.0
""
30.0
64.0
47.0
54.0
626.0
63.0
265.0
296.0
28.0
35.0
""
""
""
""
""
49.0
""
""
""
99.0
""
""
247.0
50.0
""
38.0
172.0
""
""
""
""
""
""
""
""
""
""
""
20.0
245.0
""
25.0
""
""
""
""
""
""
""
""
""
""
""
27.0
22.0
""
23.0
""
""
""
46.0
""
""
""
""
""
""
""
29.0
""
34.0
33.0
90.0
""
395.0
36.0
""
""
114.0
""
""
""
23.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
20.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
22.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
30.0
""
""
""
27.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
64.0
""
""
""
""
""
""
103.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
35.0
186.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
24.0
37.0
30.0
""
""
""
""
28.0
""
120.0
""
""
""
""
25.0
""
25.0
""
45.0
""
""
72.0
67.0
41.0
""
233.0
28.0
""
""
53.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
73.0
""
96.0
""
""
""
""
""
""
""
""
""
""
""
25.0
""
""
208.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
58.0
95.0
165.0
""
""
""
""
49.0
""
""
27.0
""
21.0
200.0
38.0
""
""
""
""
96.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
21.0
""
""
""
""
""
1013.0
45.0
139.0
""
21.0
""
""
""
63.0
""
249.0
""
75.0
""
""
""
26.0
""
""
153.0
""
""
34.0
""
""
""
""
""
""
""
41.0
120.0
""
""
""
""
""
""
""
""
20.0
""
""
32.0
""
23.0
""
""
83.0
62.0
98.0
54.0
406.0
306.0
""
""
""
48.0
67.0
671.0
205.0
""
""
339.0
""
61.0
1428.0
""
""
""
""
55.0
""
23.0
229.0
""
96.0
""
""
29.0
""
""
""
""
""
""
""
""
627.0
