comcoll_asian_male_n
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
31.0
""
""
""
""
""
""
""
28.0
""
""
""
26.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
84.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
260.0
""
""
55.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
21.0
""
""
""
""
""
""
""
""
""
1207.0
""
""
29.0
""
""
611.0
""
""
305.0
""
""
""
""
136.0
36.0
""
""
5310.0
""
43.0
""
""
76.0
""
""
120.0
45.0
""
1909.0
44.0
""
395.0
602.0
""
537.0
1199.0
1057.0
303.0
30.0
785.0
61.0
1717.0
27.0
""
""
""
357.0
70.0
104.0
48.0
""
""
67.0
""
272.0
48.0
""
69.0
""
120.0
""
""
""
35.0
""
""
""
""
""
""
""
""
""
72.0
""
20.0
""
""
65.0
""
""
""
""
""
""
""
""
79.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
129.0
125.0
""
""
73.0
25.0
""
""
""
56.0
""
60.0
24.0
""
""
""
32.0
168.0
""
""
""
20.0
""
""
""
""
128.0
32.0
""
""
""
""
""
""
""
""
""
""
""
108.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
164.0
""
""
30.0
""
165.0
22.0
87.0
25.0
99.0
38.0
""
""
""
""
""
61.0
""
""
""
""
22.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
20.0
""
""
""
""
""
70.0
""
82.0
""
""
23.0
""
""
""
""
""
""
""
123.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
94.0
""
""
""
""
""
""
196.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
86.0
1420.0
55.0
134.0
25.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
23.0
""
""
""
""
""
1217.0
""
""
""
""
""
481.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
58.0
""
""
""
174.0
""
""
""
""
""
""
24.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
84.0
""
33.0
""
""
28.0
""
""
""
""
""
""
""
""
