hours_wk_pooled_female_mean_se
0.4664925
0.75235057
1.5331872
0.43066642
0.51383531
1.209877
0.35370091
1.4130493
1.458221
0.57155937
0.55315757
0.29775271
1.4162256
0.87845689
0.56969422
1.8301104
1.9894779
0.59797418
1.618728
1.158379
0.45453966
0.43298754
0.57975572
0.74854493
0.31446388
1.3719594
0.7454868
0.49164462
0.29581487
1.0979335
0.91126406
0.69210565
0.33077598
0.42865539
0.86584389
0.53412235
1.187402
0.91109943
1.6575867
1.5634495
0.47358632
1.1051037
1.7384726
2.5412297
1.3907156
1.0995262
0.28632426
0.6771543
0.40677106
0.78795332
0.58279461
0.48320746
0.71963865
2.2745318
1.8582538
0.46814469
1.2234865
2.0720706
2.2348423
0.81534219
1.1264353
0.4236359
1.5695342
1.1398112
1.0102186
1.0284472
1.567871
1.2571934
1.087901
1.0484474
1.1046603
1.0576586
0.91506302
0.70209789
1.0789599
1.4484961
0.7440508
0.96774256
1.3500841
0.32016811
0.92203265
0.81352246
0.99810576
0.80057335
0.3054699
0.9402855
0.86091179
0.66146708
0.47685969
0.61311245
0.73819613
1.1017771
1.0975535
0.52097201
1.2180381
1.9884788
0.82304651
0.56573945
0.24494249
0.47829348
0.43642074
0.20180999
0.30655688
0.44978267
0.47772247
0.2755349
0.49541965
0.329869
1.1262752
0.64280075
0.72085786
0.70594305
0.40140247
1.5009155
0.44230124
0.37420624
0.48427713
1.4494842
1.789583
1.7093822
0.73139048
1.0637192
1.2731447
0.94605356
1.1168764
0.54034179
0.5690276
1.1414816
1.4430364
1.2146513
0.20208625
0.94988716
0.81986916
1.2648776
0.7163496
0.86661571
0.50954789
0.61661398
1.4954824
0.99574101
0.56850624
0.77199924
1.7538149
1.2947083
0.80929905
1.3147718
0.55122912
0.90161568
1.1000482
1.1670142
0.93599021
0.35050738
0.7061252
1.6006353
0.43911964
0.46431807
1.3282129
0.54803973
1.048293
0.88107002
2.6089437
1.4103655
0.63860738
0.21929237
1.4388912
0.1585813
0.73828131
0.71012521
1.0389419
0.49695697
0.14148551
0.40378052
0.64915305
0.34779346
0.67604721
0.95903659
0.40183061
0.24935305
0.68471074
0.81546599
0.75005811
0.75461668
0.28242132
0.87379187
0.83863568
0.22997655
1.5719318
0.71106505
0.45021123
1.6737871
1.1534942
0.65395159
0.29328069
1.3919103
1.0459321
0.69086897
0.5189175
0.48548484
0.32849145
0.76312453
0.36784333
0.47168168
0.77951616
0.66259336
0.48142755
0.38304532
0.2758128
0.7986052
0.60864383
0.51032865
0.6153692
0.46872044
1.0876878
1.2351346
0.38165253
0.3589226
0.42871439
0.19859251
0.71037775
0.63798398
0.88401288
0.66573793
0.68821138
0.90968394
0.25730297
0.54192179
0.48472208
0.37830499
0.19149588
0.33705327
0.33078134
0.54720485
1.4013865
0.68357319
1.7326423
