kfr_stycz_other_female_mean
0.33652559
0.42053574
""
""
""
""
""
0.3792845
""
""
""
""
""
""
""
0.4856275
0.44220582
""
""
""
""
0.44271004
0.40838146
""
0.40848663
0.41450241
""
0.36228594
""
""
""
""
""
""
0.3471545
0.35529411
0.38910666
""
0.33517617
0.43327197
0.41988164
0.37709472
""
""
0.50237221
""
""
0.3505711
0.38782534
""
0.40460891
0.42473805
""
""
""
""
0.38791898
""
0.48847559
""
0.25622264
""
0.34384826
""
""
""
""
""
""
0.40881592
""
""
""
""
0.34690559
""
""
0.42711005
0.38948432
0.29669785
""
""
""
0.35333598
""
""
""
""
""
""
""
""
""
""
""
""
""
0.4503389
0.42486551
""
""
""
""
0.47811943
0.4151836
0.37350538
0.42457131
0.43505022
""
0.46452919
0.51783746
""
""
""
0.49231654
""
""
""
""
""
""
""
""
""
""
""
0.32530349
0.36005965
""
""
""
""
""
0.46112657
""
""
0.34537032
""
""
""
""
""
""
""
""
0.30490291
""
""
""
""
""
""
""
0.3754974
""
""
0.3341274
0.25833157
""
""
""
""
""
""
""
""
""
""
""
""
0.44475502
""
""
0.51516807
""
""
0.39497864
""
""
""
""
""
0.39529809
0.39053354
""
""
0.55922151
""
0.50471509
0.38388819
0.51885056
""
0.58796984
0.44002187
0.54678035
0.45286664
""
0.40218979
0.42332739
""
0.45950827
0.47776219
0.35009804
""
0.53249907
0.49185041
0.57263899
""
0.45592532
0.4593831
""
""
0.4719879
0.58048803
0.46273881
0.57034695
0.53861809
""
0.48020566
0.50736165
0.51435924
0.50050962
0.52105081
0.55442816
0.47071812
0.47108003
0.5849967
0.49068987
0.58539867
0.53694278
0.36915949
""
0.38954839
0.52787352
0.48478654
0.4516882
0.45123816
0.38332641
""
0.47466969
0.36056229
0.57773298
0.51818389
0.39011657
0.48153669
""
0.52414334
""
""
""
0.5371865
0.51644009
""
""
""
""
""
""
""
""
0.46076488
""
0.59833318
""
""
0.43015152
0.37804246
0.50092781
""
""
""
""
""
""
0.54934782
""
""
""
""
0.46809009
""
""
""
0.43344223
""
""
""
""
""
""
""
""
""
""
""
0.41471097
""
""
""
""
""
""
""
""
""
""
0.49322408
""
0.51382858
0.48148698
0.48506579
0.43638733
0.42460281
0.45122364
0.51482081
0.51891637
0.43286559
0.41868958
0.45556083
0.45061094
0.4150264
""
0.38838646
""
0.41309002
0.43283242
""
0.37890255
0.34721053
0.48945537
0.36094984
0.47555795
""
""
0.45450461
0.38255024
0.44211039
""
""
""
""
""
""
""
""
0.46452764
0.31408209
0.44183141
""
0.44109303
""
""
""
0.44268489
0.43264386
0.41110009
""
""
""
0.43224499
0.3368187
0.42218819
0.43186122
0.36935428
0.46657217
0.45715168
""
0.43779671
0.44936097
