kfr_imm_white_female_n
97.0
33.0
""
124.0
84.0
""
155.0
""
""
74.0
62.0
370.0
""
""
49.0
""
""
108.0
""
""
88.0
217.0
63.0
27.0
409.0
""
46.0
110.0
392.0
""
""
42.0
296.0
221.0
""
114.0
""
20.0
""
""
64.0
""
""
""
""
""
282.0
31.0
116.0
39.0
86.0
75.0
26.0
""
""
92.0
""
""
""
""
""
140.0
""
23.0
""
""
""
""
""
""
""
""
""
22.0
""
""
20.0
""
""
149.0
""
43.0
""
""
325.0
24.0
26.0
108.0
131.0
46.0
23.0
""
""
97.0
""
""
35.0
54.0
955.0
138.0
309.0
1727.0
685.0
268.0
280.0
644.0
232.0
460.0
29.0
111.0
91.0
38.0
170.0
""
166.0
190.0
159.0
""
""
""
52.0
""
23.0
47.0
""
96.0
77.0
""
""
""
947.0
23.0
45.0
""
45.0
""
105.0
121.0
""
26.0
98.0
93.0
""
""
24.0
""
104.0
20.0
""
""
""
127.0
24.0
""
313.0
79.0
""
73.0
""
""
""
""
106.0
807.0
""
2164.0
30.0
29.0
33.0
64.0
2689.0
125.0
31.0
123.0
29.0
""
130.0
331.0
44.0
24.0
36.0
27.0
282.0
21.0
""
398.0
""
""
104.0
""
""
90.0
244.0
""
""
""
37.0
38.0
176.0
""
149.0
84.0
28.0
31.0
53.0
127.0
265.0
27.0
39.0
71.0
38.0
57.0
""
""
197.0
128.0
121.0
1098.0
23.0
29.0
20.0
""
24.0
27.0
344.0
41.0
68.0
52.0
513.0
160.0
180.0
87.0
""
39.0
""
""
""
24.0
""
""
30.0
49.0
43.0
94.0
""
20.0
72.0
443.0
65.0
109.0
909.0
107.0
73.0
""
119.0
91.0
34.0
375.0
47.0
239.0
48.0
277.0
282.0
277.0
470.0
8216.0
588.0
4343.0
1922.0
179.0
90.0
43.0
""
130.0
27.0
107.0
199.0
194.0
54.0
103.0
1420.0
""
""
2523.0
534.0
45.0
398.0
2059.0
55.0
""
""
""
""
21.0
""
""
""
33.0
21.0
61.0
810.0
""
43.0
75.0
""
""
""
23.0
45.0
""
57.0
43.0
34.0
67.0
134.0
62.0
""
84.0
78.0
57.0
33.0
171.0
39.0
""
20.0
51.0
96.0
38.0
""
92.0
""
126.0
166.0
476.0
25.0
4611.0
180.0
45.0
""
584.0
""
""
59.0
74.0
26.0
""
""
""
""
""
""
""
30.0
""
47.0
36.0
""
30.0
""
""
21.0
""
84.0
""
""
""
""
""
""
""
""
""
24.0
""
""
""
""
""
""
46.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
74.0
""
""
""
""
""
""
32.0
25.0
""
44.0
49.0
""
""
""
41.0
20.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
24.0
""
""
""
20.0
144.0
""
""
""
50.0
""
""
""
""
""
36.0
""
""
""
""
""
""
27.0
36.0
""
89.0
""
""
230.0
""
""
""
""
""
""
434.0
""
""
32.0
""
""
""
""
""
""
""
""
""
""
""
""
24.0
""
""
134.0
868.0
""
""
""
""
26.0
""
""
""
""
""
""
""
""
""
85.0
66.0
135.0
20.0
""
""
""
40.0
58.0
451.0
40.0
40.0
""
""
76.0
23.0
97.0
30.0
46.0
""
""
52.0
25.0
96.0
""
230.0
""
""
23.0
220.0
33.0
""
""
""
36.0
""
40.0
75.0
36.0
""
74.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
343.0
""
439.0
""
""
""
68.0
""
""
""
""
""
""
121.0
90.0
34.0
74.0
1188.0
80.0
27.0
""
32.0
""
""
""
""
""
""
""
""
69.0
""
""
60.0
""
""
""
""
""
62.0
21.0
222.0
522.0
920.0
38.0
80.0
57.0
40.0
124.0
21.0
""
""
""
""
295.0
""
37.0
41.0
""
""
161.0
""
""
""
""
""
""
""
""
""
""
""
""
65.0
""
""
52.0
""
""
""
""
""
""
""
""
35.0
""
""
35.0
28.0
""
""
""
43.0
42.0
""
""
25.0
""
228.0
""
25.0
""
35.0
""
""
""
194.0
""
1141.0
""
317.0
46.0
""
28.0
88.0
""
""
23.0
44.0
""
170.0
""
""
43.0
""
""
""
""
271.0
690.0
72.0
112.0
""
""
""
""
""
""
56.0
""
""
58.0
48.0
85.0
""
36.0
364.0
142.0
368.0
129.0
1059.0
1175.0
""
""
""
159.0
239.0
2011.0
595.0
""
""
1164.0
52.0
238.0
6683.0
24.0
28.0
31.0
36.0
250.0
34.0
71.0
941.0
""
367.0
""
50.0
121.0
""
""
35.0
""
""
""
131.0
29.0
1766.0
