two_par_other_male_n
232.0
117.0
20.0
420.0
240.0
39.0
616.0
33.0
""
152.0
189.0
867.0
29.0
79.0
173.0
""
35.0
236.0
28.0
50.0
273.0
977.0
216.0
119.0
977.0
32.0
144.0
569.0
1593.0
52.0
77.0
129.0
936.0
910.0
66.0
422.0
35.0
78.0
""
21.0
192.0
47.0
""
""
27.0
43.0
1003.0
187.0
434.0
130.0
346.0
317.0
119.0
""
""
374.0
33.0
25.0
""
82.0
52.0
461.0
20.0
41.0
53.0
49.0
""
34.0
37.0
37.0
40.0
48.0
64.0
104.0
38.0
""
65.0
46.0
""
771.0
61.0
89.0
45.0
91.0
839.0
86.0
84.0
420.0
515.0
183.0
100.0
36.0
47.0
286.0
52.0
""
108.0
172.0
1989.0
462.0
490.0
3106.0
1100.0
426.0
634.0
1853.0
471.0
1291.0
76.0
255.0
208.0
179.0
529.0
27.0
571.0
422.0
570.0
""
21.0
""
154.0
53.0
62.0
240.0
50.0
346.0
301.0
45.0
29.0
""
2792.0
82.0
114.0
35.0
156.0
64.0
305.0
369.0
33.0
82.0
287.0
286.0
""
41.0
96.0
23.0
224.0
72.0
54.0
40.0
61.0
452.0
107.0
""
1034.0
325.0
34.0
261.0
28.0
65.0
""
30.0
390.0
2294.0
40.0
6189.0
126.0
58.0
115.0
213.0
4191.0
503.0
94.0
391.0
85.0
27.0
509.0
1054.0
97.0
98.0
65.0
78.0
1112.0
82.0
79.0
1290.0
""
63.0
366.0
""
52.0
287.0
693.0
28.0
28.0
80.0
166.0
167.0
633.0
49.0
576.0
242.0
76.0
125.0
244.0
435.0
1101.0
82.0
156.0
181.0
141.0
200.0
28.0
26.0
451.0
470.0
398.0
1799.0
106.0
145.0
84.0
88.0
149.0
84.0
1492.0
233.0
132.0
164.0
1260.0
467.0
344.0
250.0
23.0
132.0
""
98.0
23.0
194.0
""
46.0
131.0
71.0
119.0
317.0
61.0
89.0
199.0
787.0
69.0
229.0
1381.0
248.0
124.0
""
255.0
67.0
56.0
724.0
55.0
383.0
106.0
425.0
638.0
744.0
728.0
9797.0
801.0
4387.0
4018.0
491.0
365.0
107.0
27.0
151.0
20.0
51.0
476.0
193.0
74.0
151.0
1735.0
""
""
4269.0
777.0
75.0
468.0
2590.0
108.0
42.0
28.0
""
42.0
57.0
35.0
34.0
24.0
77.0
66.0
152.0
2837.0
38.0
104.0
158.0
43.0
40.0
""
73.0
122.0
""
115.0
157.0
61.0
128.0
289.0
208.0
65.0
188.0
142.0
131.0
51.0
424.0
60.0
35.0
47.0
146.0
301.0
93.0
95.0
323.0
30.0
319.0
446.0
1210.0
95.0
5532.0
457.0
156.0
54.0
1853.0
""
42.0
174.0
239.0
103.0
40.0
67.0
58.0
20.0
38.0
93.0
36.0
72.0
""
74.0
132.0
""
76.0
46.0
67.0
89.0
""
276.0
""
""
43.0
44.0
""
""
""
""
""
78.0
""
""
""
""
""
""
74.0
""
""
""
""
""
""
""
""
""
""
""
""
21.0
31.0
""
167.0
32.0
""
""
""
""
24.0
145.0
""
""
132.0
145.0
""
27.0
""
54.0
41.0
""
""
""
""
""
""
""
""
""
""
32.0
""
32.0
27.0
20.0
32.0
32.0
25.0
27.0
51.0
407.0
""
""
""
250.0
22.0
""
""
""
42.0
141.0
""
""
27.0
28.0
37.0
""
37.0
155.0
""
267.0
22.0
23.0
837.0
29.0
""
""
""
""
20.0
1337.0
""
""
161.0
23.0
""
""
""
""
""
""
""
""
""
20.0
""
47.0
""
26.0
391.0
2555.0
""
""
47.0
33.0
80.0
21.0
""
""
""
""
""
72.0
20.0
""
296.0
391.0
683.0
72.0
73.0
48.0
43.0
333.0
166.0
1762.0
116.0
63.0
""
""
249.0
38.0
393.0
87.0
363.0
41.0
85.0
672.0
605.0
447.0
164.0
2594.0
181.0
25.0
170.0
705.0
132.0
""
37.0
""
92.0
""
48.0
172.0
124.0
""
175.0
39.0
""
""
""
21.0
44.0
""
""
33.0
""
""
""
84.0
""
""
1009.0
25.0
1579.0
20.0
35.0
""
212.0
""
""
""
""
""
31.0
202.0
345.0
97.0
217.0
3493.0
322.0
98.0
55.0
129.0
""
""
""
23.0
""
23.0
""
""
224.0
""
""
175.0
""
""
""
34.0
""
165.0
62.0
904.0
1712.0
2745.0
151.0
240.0
176.0
166.0
542.0
91.0
""
254.0
90.0
178.0
2571.0
203.0
244.0
144.0
151.0
""
1303.0
""
""
""
27.0
""
38.0
148.0
56.0
64.0
41.0
""
""
348.0
47.0
35.0
164.0
""
27.0
""
36.0
41.0
""
""
""
162.0
""
""
76.0
77.0
59.0
""
20.0
190.0
148.0
40.0
""
82.0
""
13645.0
697.0
1747.0
23.0
149.0
""
""
31.0
915.0
""
3209.0
""
1143.0
167.0
""
207.0
254.0
40.0
192.0
2082.0
81.0
47.0
590.0
81.0
""
138.0
31.0
""
23.0
""
472.0
2235.0
134.0
260.0
""
""
21.0
39.0
""
83.0
255.0
""
""
359.0
239.0
377.0
58.0
266.0
1319.0
970.0
1708.0
705.0
5758.0
4714.0
66.0
22.0
""
728.0
954.0
10775.0
3028.0
""
24.0
5356.0
198.0
896.0
20896.0
106.0
64.0
91.0
103.0
851.0
124.0
369.0
3252.0
95.0
1479.0
123.0
329.0
416.0
46.0
""
182.0
""
""
""
270.0
161.0
9313.0
