kid_black_pooled_n
3136
1213
229
11908
24994
5636
64899
716
301
22528
18196
100324
140
1864
10532
170
125
5836
130
8792
60648
61336
22760
27727
93487
9488
20415
41299
107337
10551
15857
11706
90927
53341
22586
27730
13409
16028
8563
8245
80293
15286
4498
1517
10551
15808
169018
19685
88295
17369
22262
52371
30287
2850
3910
63606
6968
1419
2158
22379
9826
43509
3540
2501
279
729
70
450
512
313
14903
24157
33867
17008
7766
702
16370
2994
3246
167723
24341
3431
899
4750
57195
1932
2483
14966
26692
6190
5860
499
228
20134
277
26
1975
9717
80993
26130
14747
256213
69150
14425
15829
75457
17427
84482
9013
10579
16746
28367
79674
12273
59744
49240
60603
4462
2941
6035
23945
8551
7518
14474
11270
45658
44446
8779
10400
9825
351670
11913
11742
4780
4465
12690
28951
39121
10459
15958
32150
5833
5769
7835
29068
9685
15458
18070
15023
13748
2783
84553
31536
12113
27756
58557
8477
45844
5738
1690
841
307
11655
205288
4877
351085
84
81
62
3780
363119
11319
241
14738
705
55
14184
28230
143
72
73
101
42268
556
1174
74658
399
116
13155
225
1060
4476
45670
149
1242
1707
1182
4399
27753
294
24484
4141
235
2225
7332
13515
68736
516
1816
3840
950
5176
31
171
38669
10359
9737
148769
388
1489
1451
1019
1246
534
65438
4058
637
1599
60666
22802
7699
11564
46
1349
24
2452
27
4380
16
370
1730
987
3142
4707
830
1365
11742
20380
572
2197
82974
2688
419
29
1909
321
466
18433
532
5910
2010
5833
8808
20214
19279
673704
19364
237198
331342
31807
25686
6950
5267
351
32
94
1695
645
99
299
17122
48
54
81135
2564
122
12091
93064
855
41
109
11
64
49
51
52
14
345
368
576
58214
57
151
1461
129
157
50
202
3903
56
1115
1871
215
307
911
858
72
466
447
525
161
6246
331
294
99
3172
12288
863
1178
7662
355
12225
12566
90446
6055
493169
13588
1826
266
151362
502
518
6985
7017
1443
44
90
42
38
278
2759
2862
2700
227
1566
5060
472
5380
785
10175
3077
21
616
8
15
552
437
70
16
3
26
46
75
0
2
4
13
5
3
379
12
5
2
0
5
0
5
0
6
8
19
9
7
36
22
909
22
6
11
2
1
37
116
24
19
297
483
9
33
0
143
71
2
11
1
2
68
24
32
7
11
2
12
0
119
149
45
107
41
67
51
451
6779
33
25
78
341
0
0
0
1
72
532
10
3
135
44
60
48
94
896
17
2258
32
79
20906
46
5
2
2
3
71
10531
10
0
623
23
13
15
4
7
15
13
2
11
92
29
1
89
10
72
628
34844
19
1
199
180
438
66
31
0
13
0
20
526
62
15
3420
5955
14495
207
221
157
237
1506
2007
72417
1091
451
108
12
6162
53
1688
74
936
117
782
3536
3236
1157
540
24851
1392
20
777
6131
696
24
91
9
503
2
1006
6592
1143
279
4007
440
120
176
15
794
153
26
4
269
11
55
81
2993
1316
447
30389
138
30019
257
237
0
4537
300
36
26
47
28
103
713
5081
9047
8980
241886
34787
9274
5547
1241
72
6
19
183
23
514
300
292
3132
231
182
3656
81
43
527
671
72
13160
4755
20506
61548
163958
6214
16931
16715
14771
7590
1064
269
1582
366
601
37294
424
2548
9040
1955
0
5053
10
2
1
7
5
45
54
7
20
21
9
1
1724
10
7
226
9
13
12
9
15
4
1
10
215
2
6
63
61
19
5
12
71
110
27
15
172
0
5150
34
86
59
187
21
0
37
4481
33
36610
76
8252
186
8
163
450
22
300
157
57
33
1004
48
1
104
36
5
25
2
489
4757
141
345
3
6
10
23
4
109
326
3
4
506
255
279
36
108
6736
12537
18784
1868
54541
14641
93
25
47
2175
2180
123679
38578
55
13
47260
1468
2566
367371
56
143
203
65
2066
100
332
15784
60
1808
52
649
965
43
0
103
0
3
14
280
144
49583
