kir_imm_hisp_pooled_n
20.0
""
""
38.0
97.0
""
149.0
""
""
44.0
45.0
311.0
""
""
53.0
""
""
43.0
""
""
30.0
318.0
32.0
37.0
327.0
""
68.0
135.0
324.0
""
""
""
212.0
145.0
""
69.0
""
""
""
""
25.0
""
""
""
""
""
663.0
32.0
80.0
""
74.0
43.0
""
""
""
45.0
""
""
""
24.0
""
71.0
""
""
""
""
""
""
""
""
""
""
""
20.0
""
""
""
""
""
131.0
""
""
""
27.0
182.0
""
""
100.0
74.0
42.0
""
""
""
35.0
""
""
""
171.0
2369.0
638.0
421.0
18048.0
1978.0
690.0
369.0
3440.0
409.0
474.0
41.0
184.0
123.0
""
120.0
""
111.0
125.0
107.0
""
""
""
53.0
24.0
""
80.0
""
92.0
48.0
""
""
""
1237.0
""
40.0
""
180.0
""
72.0
135.0
""
""
83.0
45.0
""
""
""
""
66.0
""
""
""
""
62.0
""
""
169.0
43.0
""
51.0
""
""
""
""
114.0
414.0
""
4375.0
""
""
""
31.0
758.0
83.0
""
64.0
""
""
135.0
424.0
""
""
""
""
99.0
""
""
105.0
""
""
40.0
""
""
79.0
113.0
""
""
""
23.0
""
116.0
29.0
180.0
123.0
20.0
25.0
""
99.0
170.0
""
""
96.0
21.0
24.0
""
""
541.0
26.0
171.0
540.0
""
""
""
""
""
""
153.0
""
""
""
88.0
58.0
116.0
45.0
""
""
""
""
""
""
""
""
""
38.0
""
41.0
""
""
28.0
171.0
""
39.0
606.0
33.0
""
""
50.0
""
48.0
137.0
""
207.0
""
559.0
702.0
279.0
541.0
23230.0
552.0
9755.0
2524.0
191.0
97.0
""
""
""
""
""
49.0
""
""
""
1008.0
""
""
3260.0
193.0
""
700.0
3088.0
21.0
""
""
""
""
""
""
32.0
""
50.0
39.0
21.0
397.0
""
""
40.0
35.0
""
""
35.0
""
""
106.0
""
20.0
37.0
106.0
49.0
""
44.0
23.0
""
""
99.0
""
""
""
34.0
51.0
""
""
150.0
""
108.0
252.0
820.0
56.0
12969.0
289.0
48.0
""
220.0
""
""
27.0
26.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
33.0
""
""
""
""
""
""
""
""
""
25.0
36.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
43.0
""
""
38.0
""
23.0
29.0
""
79.0
""
""
""
""
""
""
""
""
48.0
29.0
""
""
40.0
42.0
""
""
51.0
106.0
""
59.0
""
""
258.0
33.0
""
""
""
""
""
301.0
""
""
128.0
""
""
""
""
""
""
""
""
""
20.0
52.0
""
28.0
""
""
331.0
1758.0
""
""
87.0
32.0
""
""
""
""
""
""
""
20.0
""
""
79.0
55.0
250.0
""
""
""
43.0
""
27.0
475.0
""
""
""
""
20.0
""
44.0
24.0
50.0
""
51.0
85.0
""
199.0
""
273.0
""
""
""
7206.0
153.0
""
182.0
""
285.0
""
325.0
263.0
155.0
137.0
343.0
92.0
""
""
""
124.0
143.0
37.0
""
114.0
63.0
62.0
128.0
149.0
31.0
39.0
1388.0
30.0
3948.0
20.0
79.0
""
948.0
180.0
96.0
143.0
84.0
41.0
1951.0
7643.0
764.0
154.0
520.0
11377.0
281.0
152.0
40.0
241.0
30.0
""
130.0
425.0
604.0
90.0
26.0
28.0
205.0
""
22.0
96.0
""
""
34.0
68.0
63.0
294.0
72.0
476.0
2327.0
5448.0
72.0
286.0
122.0
113.0
155.0
36.0
""
37.0
27.0
25.0
583.0
""
29.0
31.0
37.0
""
143.0
""
""
""
""
""
""
""
""
""
""
""
""
22.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
396.0
""
37.0
""
93.0
""
""
33.0
870.0
""
4092.0
20.0
2501.0
64.0
""
61.0
103.0
""
34.0
27.0
103.0
75.0
293.0
71.0
""
31.0
25.0
""
""
""
232.0
621.0
69.0
177.0
""
""
""
""
""
""
66.0
""
""
151.0
24.0
73.0
""
26.0
2298.0
2514.0
4628.0
520.0
3060.0
5639.0
57.0
26.0
""
477.0
611.0
6798.0
2436.0
""
""
7312.0
2930.0
1386.0
66574.0
""
""
188.0
127.0
62.0
25.0
38.0
582.0
74.0
446.0
""
629.0
490.0
""
""
38.0
""
""
""
52.0
""
1021.0
