staycz_pooled_male_n
22584
10379
2373
30993
20010
3236
42792
3387
2221
15581
17584
62524
2248
6240
16199
1677
1507
15506
2045
3491
25581
30798
14966
9238
55010
2537
9518
24283
58243
4838
6138
9650
46450
29643
5599
23896
5475
7307
1807
2110
26907
5275
2317
979
3436
4393
67463
13676
39172
9548
17742
26663
12893
940
1412
26130
3391
1037
1017
8278
4444
30954
1817
4207
5586
4684
1510
2896
3394
4705
4209
6124
7513
9623
4552
1993
8691
5471
2472
58354
6797
7770
4009
8622
57193
6439
6819
12652
24079
12713
9670
3764
4410
22468
4149
1664
8742
18671
101892
28076
31421
164203
64822
28462
29034
84388
26532
60449
6415
16598
12795
11343
33679
2974
29518
38767
26909
1719
1443
1851
11063
4963
4365
6536
4473
19958
19080
4395
3541
3540
162204
6790
8799
3839
12364
6822
23221
16182
2653
5992
18039
9895
1698
2925
9051
2317
11602
7636
4815
4596
6164
46651
12081
2785
33510
28391
3276
19576
3571
6797
983
2708
13907
107721
1909
196430
5842
5755
2438
15977
221119
21580
6584
27429
6321
2813
24289
61194
7513
4190
4624
5513
58634
6234
5406
91558
2339
7334
23279
1691
3862
10701
50210
2439
3520
8372
13313
14076
41122
5306
33228
19603
6863
9745
19106
28430
69624
7975
11924
15733
11605
18340
2503
2583
36330
33155
22566
114565
9181
9448
5601
8310
10632
5924
73508
16569
11694
17391
99055
36297
29650
17654
2164
9912
1690
5797
2116
13695
1055
6024
14274
6795
7888
18345
6177
5652
11279
47407
6610
13389
97088
15547
9324
2013
11355
6546
4705
41576
7959
34077
10090
27817
49555
47014
35698
413811
47716
223741
230214
27521
19591
6629
1361
11541
1188
3012
28828
12682
3935
10392
61319
296
236
174793
52238
5032
27201
131028
6793
2447
1954
1333
3169
4867
3094
3807
1696
8042
5907
13828
126231
2501
7179
11942
3760
4216
3702
5835
11193
1683
9257
12087
7151
10093
26898
15026
3379
19463
14814
10665
6297
25658
8489
4505
5005
9704
17232
6924
6601
19910
3809
26311
29546
76617
7033
332991
31007
5825
6884
113552
1887
3946
12883
18890
7214
2482
4405
3423
2423
2946
7183
5190
6477
1358
7150
10890
1583
8618
3501
5339
8544
1058
14155
139
676
3017
2468
1143
716
551
1520
1465
6232
108
310
124
933
370
543
4175
633
79
49
164
408
27
343
216
434
637
1556
994
1407
1942
828
10272
2285
999
953
161
407
2565
5270
1424
1484
6005
9612
783
2015
141
6397
4133
702
447
296
594
2442
1481
1108
796
437
253
1256
126
4640
2880
3500
3383
3368
2847
2976
5389
27607
1969
1989
2829
9342
170
117
39
179
3841
6279
1110
619
3246
3632
2152
1359
4424
10131
1175
14659
2172
2537
42377
2302
860
81
378
639
2259
34540
216
201
9427
1099
516
405
317
571
896
477
186
1067
2539
2682
712
3715
124
1379
23550
109388
1149
43
2326
2699
4397
2198
535
301
1131
556
628
3667
1287
999
8119
15569
26965
4224
2846
2928
2642
8133
6089
84634
7996
4546
1582
943
13757
3679
21194
6533
12819
2710
6161
15229
7126
16973
3844
45215
2560
1424
5191
47157
4218
408
2685
98
6666
264
5375
15752
4701
1742
13545
3225
418
324
32
3110
2813
894
492
1894
1008
1090
1788
8451
1954
963
55750
2344
89168
2083
3134
50
17159
2117
908
743
1096
897
10581
44888
28374
8432
18242
217386
24821
7954
4143
6744
1136
300
1779
2762
2629
3030
1196
1568
10843
462
595
8141
1417
262
1186
2901
2602
13814
4426
19334
93257
157138
9051
20173
14719
11236
10023
2813
443
5320
3006
3646
57332
3178
8004
9311
4200
67
18596
244
22
178
264
149
642
1735
620
797
608
170
72
5378
1139
983
5293
699
2205
897
1927
2385
724
26
280
8152
51
512
3950
3687
2770
412
959
5846
6465
3007
827
4867
52
41780
1806
5193
2088
7196
526
241
1965
36365
709
140626
1771
44840
10014
483
9468
12700
1578
7116
5022
6374
2709
25130
3521
338
7905
2733
540
1468
68
24537
84630
9918
17513
551
437
1743
2359
922
5407
7130
304
442
11352
5505
12999
2109
8121
38389
35902
68449
18344
117976
101104
3138
1176
702
22147
25123
178217
70887
99
1008
119568
15883
27375
630578
4376
2548
4357
4847
28614
3960
11423
83242
3140
44731
3395
12641
17622
2439
365
8001
75
295
404
7831
4266
162598
