staytract_asian_female_n
120.0
55.0
""
339.0
193.0
22.0
725.0
""
""
253.0
161.0
1359.0
""
155.0
322.0
""
""
122.0
""
""
157.0
396.0
99.0
39.0
1206.0
""
100.0
264.0
1760.0
25.0
30.0
97.0
954.0
538.0
24.0
436.0
""
41.0
""
""
204.0
""
""
""
""
22.0
1650.0
181.0
511.0
78.0
143.0
325.0
53.0
""
""
174.0
21.0
""
""
29.0
24.0
294.0
""
24.0
""
23.0
""
""
""
""
28.0
28.0
30.0
42.0
""
""
23.0
""
""
675.0
21.0
66.0
""
31.0
916.0
37.0
29.0
143.0
319.0
60.0
38.0
""
24.0
287.0
""
""
53.0
145.0
2097.0
345.0
357.0
2851.0
1004.0
283.0
458.0
2195.0
307.0
1337.0
32.0
174.0
234.0
84.0
360.0
""
357.0
372.0
428.0
""
""
""
107.0
26.0
32.0
78.0
23.0
243.0
203.0
26.0
30.0
28.0
5012.0
41.0
150.0
31.0
174.0
29.0
160.0
212.0
""
80.0
197.0
179.0
""
26.0
39.0
""
113.0
31.0
25.0
25.0
""
325.0
72.0
""
697.0
300.0
""
157.0
""
52.0
""
""
199.0
3046.0
""
12022.0
38.0
34.0
""
91.0
4637.0
416.0
48.0
239.0
42.0
23.0
263.0
889.0
39.0
23.0
20.0
33.0
637.0
23.0
25.0
949.0
""
21.0
232.0
""
""
131.0
457.0
""
""
43.0
93.0
75.0
390.0
39.0
339.0
151.0
50.0
55.0
101.0
270.0
825.0
76.0
79.0
162.0
75.0
122.0
""
""
334.0
215.0
138.0
1657.0
50.0
39.0
24.0
37.0
33.0
38.0
1261.0
126.0
127.0
98.0
971.0
210.0
214.0
222.0
""
83.0
""
46.0
""
115.0
""
21.0
58.0
73.0
53.0
199.0
50.0
44.0
145.0
703.0
54.0
232.0
1608.0
193.0
61.0
""
93.0
50.0
44.0
745.0
49.0
372.0
59.0
559.0
692.0
696.0
772.0
31048.0
1551.0
15980.0
7758.0
606.0
303.0
69.0
""
54.0
""
""
277.0
155.0
""
83.0
1295.0
""
""
6693.0
704.0
38.0
423.0
3215.0
90.0
""
""
""
21.0
29.0
25.0
28.0
""
85.0
91.0
166.0
5190.0
""
39.0
303.0
50.0
43.0
27.0
58.0
95.0
""
172.0
136.0
74.0
299.0
434.0
280.0
21.0
427.0
241.0
195.0
28.0
477.0
42.0
25.0
20.0
91.0
243.0
76.0
57.0
220.0
25.0
231.0
271.0
1368.0
54.0
14417.0
414.0
76.0
23.0
1494.0
""
24.0
120.0
95.0
40.0
""
""
""
""
""
35.0
34.0
44.0
""
50.0
86.0
""
40.0
""
26.0
24.0
""
108.0
""
""
""
""
""
""
""
""
""
22.0
""
""
""
""
""
""
42.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
98.0
""
""
""
""
""
""
41.0
""
""
45.0
77.0
""
""
""
46.0
31.0
""
""
""
""
""
""
""
""
""
""
""
""
39.0
40.0
22.0
91.0
""
""
66.0
42.0
617.0
""
""
""
71.0
""
""
""
""
""
45.0
""
""
""
""
23.0
""
59.0
188.0
""
306.0
""
""
447.0
""
""
""
""
""
""
603.0
""
""
63.0
""
""
""
""
""
""
""
""
""
""
""
""
25.0
""
""
242.0
2716.0
""
""
53.0
""
""
""
""
""
""
""
""
67.0
""
""
109.0
173.0
639.0
25.0
46.0
""
34.0
77.0
68.0
1341.0
45.0
28.0
""
""
188.0
""
162.0
39.0
86.0
""
57.0
351.0
48.0
227.0
37.0
555.0
""
""
44.0
402.0
53.0
""
""
""
33.0
""
""
124.0
51.0
""
233.0
""
""
""
""
""
91.0
""
""
53.0
""
""
21.0
78.0
""
""
1285.0
""
1056.0
""
25.0
""
134.0
""
""
""
""
""
39.0
299.0
299.0
114.0
363.0
9882.0
503.0
57.0
27.0
64.0
""
""
""
""
""
""
""
""
103.0
""
""
124.0
""
""
""
""
""
86.0
""
376.0
2601.0
5425.0
36.0
105.0
74.0
55.0
150.0
31.0
""
28.0
""
20.0
1186.0
""
57.0
58.0
""
""
671.0
""
""
""
""
""
82.0
55.0
""
27.0
""
""
""
102.0
""
""
44.0
""
""
""
""
""
""
""
""
40.0
""
""
""
""
""
""
""
20.0
37.0
""
""
""
""
10561.0
389.0
1155.0
""
63.0
""
""
""
496.0
""
2620.0
""
717.0
69.0
""
32.0
86.0
""
31.0
734.0
42.0
""
315.0
25.0
""
36.0
""
""
""
""
180.0
1255.0
80.0
94.0
""
""
""
""
""
27.0
64.0
""
""
185.0
101.0
125.0
38.0
65.0
1682.0
1193.0
3317.0
825.0
8684.0
15393.0
26.0
""
""
692.0
641.0
28648.0
3259.0
""
""
9891.0
199.0
836.0
60087.0
20.0
47.0
41.0
36.0
384.0
24.0
184.0
3356.0
37.0
702.0
31.0
104.0
315.0
22.0
""
62.0
""
""
""
180.0
52.0
10319.0
