kfr_stycz_pooled_female_n
1691.0
4153.0
640.0
569.0
1622.0
265.0
757.0
3698.0
1200.0
602.0
1243.0
344.0
861.0
312.0
412.0
1275.0
1682.0
368.0
256.0
950.0
341.0
2454.0
1631.0
1373.0
1798.0
2268.0
969.0
3133.0
444.0
752.0
753.0
232.0
537.0
583.0
2876.0
1519.0
23703.0
294.0
2420.0
1315.0
2510.0
2210.0
549.0
615.0
8162.0
510.0
628.0
2442.0
13783.0
457.0
7843.0
3797.0
334.0
483.0
731.0
598.0
1639.0
2112.0
4658.0
246.0
2473.0
1116.0
4845.0
1848.0
453.0
273.0
602.0
40.0
37.0
7732.0
215.0
""
""
37.0
2238.0
""
35.0
677.0
861.0
257.0
255.0
141.0
""
1270.0
124.0
85.0
109.0
""
84.0
153.0
""
82.0
56.0
""
""
104.0
684.0
3166.0
2524.0
1206.0
690.0
154.0
248.0
92064.0
3940.0
1570.0
23070.0
5048.0
1486.0
3395.0
3918.0
518.0
546.0
865.0
5145.0
836.0
291.0
105.0
579.0
316.0
546.0
527.0
579.0
249.0
548.0
702.0
2214.0
1989.0
1779.0
464.0
172.0
453.0
481.0
2607.0
444.0
239.0
2408.0
462.0
1309.0
632.0
953.0
342.0
952.0
212.0
421.0
2448.0
660.0
125.0
461.0
243.0
303.0
332.0
614.0
2108.0
414.0
251.0
1453.0
1475.0
214.0
158.0
250.0
236.0
733.0
288.0
587.0
259.0
753.0
409.0
1572.0
142.0
12846.0
557.0
665.0
3132.0
261.0
161.0
3660.0
343.0
354.0
229.0
1317.0
417.0
4868.0
1790.0
182.0
545.0
38672.0
26.0
903.0
5015.0
730.0
412.0
28838.0
627.0
4639.0
25931.0
759.0
2607.0
5367.0
343.0
22237.0
4281.0
967.0
461.0
278975.0
4352.0
4876.0
366.0
1993.0
7041.0
148.0
75.0
10985.0
3528.0
2489.0
79387.0
8426.0
232.0
55672.0
38544.0
1909.0
65456.0
73282.0
17772.0
18961.0
5869.0
20068.0
9365.0
40103.0
6648.0
4450.0
26.0
865.0
14199.0
11504.0
15016.0
2757.0
1541.0
91.0
12471.0
1216.0
24906.0
