proginc_asian_female_n
""
""
""
21.0
""
""
49.0
""
""
""
""
77.0
""
""
""
""
""
""
""
""
""
28.0
""
""
63.0
""
""
""
121.0
""
""
""
63.0
35.0
""
26.0
""
""
""
""
""
""
""
""
""
""
107.0
""
32.0
""
""
""
""
""
""
""
""
""
""
""
""
21.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
41.0
""
""
""
""
62.0
""
""
""
24.0
""
""
""
""
22.0
""
""
""
""
141.0
27.0
""
165.0
53.0
20.0
21.0
120.0
""
71.0
""
""
""
""
27.0
""
25.0
22.0
24.0
""
""
""
""
""
""
""
""
""
""
""
""
""
272.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
20.0
""
""
31.0
""
""
""
""
""
""
""
""
196.0
""
862.0
""
""
""
""
356.0
35.0
""
""
""
""
""
57.0
""
""
""
""
44.0
""
""
67.0
""
""
""
""
""
""
28.0
""
""
""
""
""
33.0
""
20.0
""
""
""
""
22.0
58.0
""
""
""
""
""
""
""
27.0
""
""
106.0
""
""
""
""
""
""
84.0
""
""
""
79.0
20.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
62.0
""
""
114.0
""
""
""
""
""
""
58.0
""
27.0
""
32.0
61.0
52.0
63.0
2324.0
125.0
1084.0
514.0
46.0
22.0
""
""
""
""
""
20.0
""
""
""
62.0
""
""
439.0
50.0
""
28.0
205.0
""
""
""
""
""
""
""
""
""
""
""
""
369.0
""
""
22.0
""
""
""
""
""
""
""
""
""
""
40.0
""
""
20.0
20.0
""
""
38.0
""
""
""
""
""
""
""
""
""
21.0
20.0
96.0
""
994.0
28.0
""
""
103.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
48.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
21.0
""
""
""
""
""
""
35.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
177.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
42.0
""
""
""
""
""
""
90.0
""
""
""
""
""
""
""
""
""
""
""
20.0
""
""
""
36.0
""
""
""
22.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
71.0
""
61.0
""
""
""
""
""
""
""
""
""
""
""
""
""
26.0
557.0
22.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
179.0
367.0
""
""
""
""
""
""
""
""
""
""
66.0
""
""
""
""
""
57.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
848.0
39.0
73.0
""
""
""
""
""
42.0
""
177.0
""
49.0
""
""
""
""
""
""
62.0
""
""
21.0
""
""
""
""
""
""
""
22.0
73.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
90.0
79.0
185.0
36.0
611.0
1069.0
""
""
""
43.0
39.0
2059.0
201.0
""
""
664.0
""
39.0
4290.0
""
""
""
""
23.0
""
""
236.0
""
43.0
""
""
""
""
""
""
""
""
""
""
""
671.0
