kfr_top01_pooled_pooled_n
45003
20539
4761
61463
40084
6594
85807
6600
4403
31197
35258
125384
4470
12262
32372
3260
2966
30569
4064
6981
51479
62350
30039
18888
111113
5224
19461
48927
117341
9831
12331
19117
93458
58796
11502
47794
10875
15039
3685
4369
54266
10585
4603
1969
6968
9056
136261
27880
78821
19225
35418
53558
26063
1951
2797
52680
6912
2109
2149
16614
8857
61189
3722
8450
11151
9289
3065
5887
6678
9366
8652
12397
15482
19188
9069
3998
17249
10798
5033
116864
13884
15349
7964
16924
114496
12660
13508
25002
47787
25770
19083
7522
8467
44622
8196
3231
17232
37332
202651
56357
62235
331347
130123
57209
57788
169730
52520
121201
12682
32882
25542
22870
67765
6095
59650
77253
53820
3496
2899
3760
21969
10244
8746
13191
8804
40172
38363
9020
7107
7033
326617
13391
17570
7635
24732
13678
46577
32714
5371
12033
35730
19519
3391
5984
18283
4747
22814
15240
9559
9230
12067
93852
24214
5691
66093
56615
6555
39105
7141
13633
2010
5335
27635
218221
3792
395040
11453
11323
4772
31299
441365
43161
12981
54028
12359
5591
48226
121892
14725
8189
8933
10700
116515
12089
10704
181847
4645
14411
46357
3352
7733
21219
99822
4816
6920
16544
26165
27686
81353
10524
65823
38824
13443
19280
37605
56285
138613
15746
23626
30828
22677
36424
5005
5130
72388
65486
44438
228364
18032
18666
11003
16528
21048
11683
145993
32518
23005
34173
196429
71874
58084
34793
4165
19629
3379
11629
4220
27187
2054
12234
28085
13552
15564
36466
12123
11144
22433
93372
13190
25934
192871
30838
18129
3909
22569
12955
9350
82056
15632
67125
19875
55195
97813
92405
70947
842510
94414
450164
461173
54783
39090
13228
2742
23115
2434
5860
56852
25071
7706
20675
121416
578
470
347109
103679
9934
54071
261188
13431
4723
3840
2676
6161
9560
6077
7605
3313
15714
11763
27021
249116
4799
14054
23326
7323
8156
7328
11578
22053
3241
18278
23773
14070
19838
52858
29828
6663
38058
29141
20998
12339
50517
16827
8926
10052
19149
34002
13815
12936
39221
7565
51892
58502
152024
13979
673410
61484
11532
13348
225940
3678
7812
25701
37431
14432
4918
8698
6775
4752
5797
14328
10222
12763
2668
13995
21550
3124
17134
6883
10770
16793
2064
27546
253
1299
6022
4997
2372
1435
1103
3021
2876
12241
227
654
254
1853
741
1081
8200
1255
144
97
286
807
62
729
410
882
1331
3066
2002
2736
3882
1615
20151
4475
1940
1889
363
796
5005
10429
2862
2900
11841
19049
1508
3973
268
12712
8099
1468
942
554
1137
4762
2967
2181
1509
925
492
2471
283
9183
5789
6800
6668
6651
5549
5871
10642
54288
3894
3903
5552
18757
379
256
81
420
7645
12229
2236
1294
6478
7211
4208
2756
8814
20354
2413
29140
4317
5012
83769
4516
1708
165
767
1215
4450
68520
442
402
18858
2168
1023
795
601
1116
1763
978
378
2084
5160
5317
1417
7483
212
2757
46825
217266
2279
86
4655
5223
8649
4253
1063
582
2161
1114
1233
7167
2490
1936
16032
30783
53815
8410
5674
5788
5293
15979
11952
168336
15775
9005
3202
1757
27295
7192
41661
12811
25470
5403
12258
29846
14386
34200
7476
90087
5213
2779
10510
98220
8455
809
5682
165
13280
514
10815
31379
9372
3584
27281
6353
840
621
55
6331
5856
1768
958
3922
2014
2252
3740
16913
4047
1891
112375
4759
179564
4046
6323
117
34209
4258
1862
1636
2251
1952
22642
92623
56294
17336
36630
441469
49149
15942
8215
13573
2268
615
3681
5706
5793
6081
2363
3161
21642
890
1226
16286
2774
481
2402
5870
5218
27753
8870
39061
187864
320421
18110
40415
29751
22694
20022
5636
879
10706
5990
7218
114519
6213
16036
18467
8235
137
36156
449
50
365
524
280
1275
3349
1132
1559
1236
356
152
10499
2237
2005
10535
1342
4303
1766
3887
4789
1438
47
554
16152
109
1025
7882
7266
5477
774
1909
11322
12573
5900
1702
9633
98
83000
3545
10403
4053
14665
1075
490
3855
73211
1473
283629
3542
90728
19781
987
18985
25246
3132
14584
10025
12626
5552
49901
7117
653
15604
5458
1040
2857
130
48062
167146
19614
34507
1107
856
3314
4697
1845
10715
14041
646
869
22462
10943
25951
4193
15894
78180
73185
141354
37123
236293
206693
6223
2316
1350
44533
50482
358006
142786
211
1978
245886
37459
55253
1286558
8571
5083
8657
9616
56350
7695
22316
166483
6456
89291
6802
25527
35327
4738
708
15677
155
591
789
15629
8465
323475
