kir_native_natam_female_n
""
""
""
21.0
""
""
30.0
""
""
""
""
58.0
""
""
""
""
39.0
""
""
""
22.0
461.0
48.0
""
35.0
""
""
""
42.0
""
""
""
43.0
28.0
22.0
23.0
""
""
""
""
""
""
""
""
""
""
51.0
96.0
""
""
33.0
""
""
""
""
30.0
""
21.0
""
""
""
42.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
28.0
""
""
""
""
29.0
""
""
""
76.0
35.0
""
""
""
""
""
""
""
""
48.0
""
""
39.0
41.0
""
20.0
28.0
""
43.0
""
""
""
""
20.0
""
20.0
23.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
58.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
51.0
""
""
""
""
""
""
38.0
40.0
""
""
""
""
""
""
""
53.0
""
101.0
59.0
27.0
167.0
20.0
171.0
30.0
35.0
43.0
22.0
""
20.0
77.0
42.0
40.0
""
""
22.0
""
""
36.0
""
""
""
""
""
""
22.0
""
""
""
""
""
21.0
""
""
""
""
""
""
21.0
""
""
""
""
""
""
""
""
""
""
""
31.0
""
""
""
""
""
""
36.0
""
""
""
26.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
41.0
""
""
91.0
""
41.0
""
24.0
""
""
""
""
""
""
""
22.0
""
""
65.0
""
39.0
53.0
""
28.0
""
""
23.0
28.0
""
30.0
""
""
""
30.0
""
""
56.0
32.0
""
""
51.0
""
42.0
25.0
""
37.0
68.0
20.0
""
""
""
""
30.0
237.0
""
73.0
20.0
""
""
""
22.0
""
""
""
""
""
""
84.0
90.0
105.0
55.0
36.0
22.0
""
26.0
""
""
""
""
""
""
""
""
""
""
""
97.0
""
88.0
""
""
""
58.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
107.0
""
""
""
""
""
""
""
""
""
65.0
""
""
""
52.0
""
81.0
21.0
""
""
""
""
""
""
34.0
""
""
""
""
23.0
""
20.0
""
48.0
""
""
56.0
44.0
""
24.0
153.0
""
""
40.0
29.0
""
""
""
""
""
""
""
""
""
22.0
""
""
34.0
39.0
""
22.0
""
""
""
""
""
""
""
""
""
""
""
""
""
96.0
44.0
""
""
40.0
""
""
""
60.0
""
""
""
""
""
33.0
46.0
24.0
""
""
49.0
""
""
""
""
""
""
52.0
""
""
21.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
24.0
160.0
""
""
""
""
""
""
""
""
""
""
""
""
27.0
""
""
57.0
74.0
""
""
""
""
140.0
""
99.0
""
""
""
""
""
""
27.0
""
217.0
""
22.0
388.0
616.0
215.0
54.0
1107.0
133.0
""
44.0
40.0
51.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
38.0
""
33.0
""
""
""
""
""
""
""
""
""
""
""
""
""
20.0
123.0
26.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
98.0
174.0
""
20.0
""
""
165.0
21.0
""
178.0
37.0
132.0
793.0
199.0
93.0
""
166.0
""
293.0
""
""
102.0
84.0
51.0
""
28.0
""
35.0
319.0
72.0
""
136.0
72.0
71.0
43.0
""
""
""
43.0
64.0
""
""
""
69.0
""
""
20.0
""
""
""
""
61.0
""
""
""
""
""
24.0
""
""
""
100.0
""
""
""
449.0
""
592.0
60.0
248.0
""
""
614.0
306.0
47.0
869.0
""
""
""
40.0
""
""
33.0
""
""
""
""
23.0
112.0
""
50.0
""
""
""
26.0
""
""
48.0
""
""
50.0
72.0
30.0
""
34.0
47.0
43.0
103.0
64.0
132.0
64.0
48.0
""
""
117.0
55.0
108.0
105.0
""
38.0
127.0
40.0
28.0
401.0
28.0
""
""
""
75.0
61.0
41.0
141.0
27.0
109.0
""
88.0
53.0
""
""
24.0
""
""
""
77.0
47.0
429.0
