somecoll_other_male_mean
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
0.67276281
""
""
""
""
""
""
""
0.87950289
""
""
""
0.59386587
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
0.59273386
""
""
""
""
0.5736838
""
""
""
""
""
""
""
""
0.55668062
""
""
""
""
""
""
""
""
""
""
""
""
""
0.69956297
""
""
""
""
""
0.64707059
""
""
0.68794554
""
""
""
""
""
""
""
0.59075165
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
0.74664503
""
""
""
""
""
0.77255881
""
""
""
""
""
""
""
""
""
0.74068624
""
""
0.71808469
""
""
0.79261577
""
0.68047094
0.68802625
""
0.58847749
""
""
0.67284542
0.86446035
""
""
0.74241889
""
0.86564475
""
""
0.48807052
""
""
0.70738834
0.64532804
""
0.8053183
0.76932842
""
0.62199986
0.72189122
""
0.76512152
0.73180503
0.7927497
0.54470068
0.85473132
0.78119969
0.70041549
0.81311023
0.74992287
0.6947822
""
""
0.64051861
0.68643409
0.73241657
0.72785407
""
""
0.49877983
""
0.65646774
0.80744499
""
0.5570727
""
0.75399274
""
""
""
0.75759697
""
""
""
""
""
""
""
""
""
0.7130779
""
0.96160591
""
""
0.7355023
""
""
""
""
""
""
""
""
0.73937666
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
0.49735707
""
0.68614352
0.73932934
""
""
0.78628546
0.60227305
""
""
""
0.47057086
0.61680597
0.63603121
""
""
0.8002308
""
0.62987399
0.67844063
""
""
""
0.53313082
""
""
""
""
0.60524493
0.52610457
""
""
""
""
""
""
""
""
""
""
""
0.70552027
""
""
""
""
""
""
0.54448557
0.72472298
""
""
""
0.65500498
""
""
0.66407502
""
""
0.83252943
""
0.67722493
0.42728505
0.74655253
0.48055759
0.64257216
0.44923455
""
""
""
""
0.52630389
0.5999552
""
""
""
""
0.51610309
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
0.45760337
""
""
""
""
""
0.50590688
""
0.80312669
""
""
""
""
""
""
""
""
""
""
0.71880049
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
0.65193343
""
""
""
""
""
""
0.86363262
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
0.78327954
""
""
""
""
""
""
""
""
""
""
""
""
""
""
0.45876098
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
0.59369946
0.64326185
0.55176449
0.49428353
0.75256562
""
""
""
""
""
""
""
""
""
""
""
""
0.69302195
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
0.80130631
""
