spouse_rk_other_male_n
79.0
40.0
""
162.0
78.0
""
190.0
""
""
48.0
65.0
289.0
""
22.0
56.0
""
""
85.0
""
""
85.0
331.0
61.0
34.0
333.0
""
53.0
214.0
616.0
""
""
44.0
339.0
368.0
21.0
146.0
""
24.0
""
""
63.0
""
""
""
""
""
320.0
68.0
135.0
41.0
143.0
120.0
42.0
""
""
131.0
""
""
""
29.0
""
172.0
""
""
20.0
""
""
""
""
""
""
20.0
""
34.0
""
""
22.0
""
""
262.0
24.0
29.0
22.0
35.0
314.0
35.0
27.0
174.0
207.0
68.0
39.0
""
20.0
114.0
24.0
""
41.0
66.0
642.0
139.0
153.0
879.0
347.0
128.0
231.0
587.0
154.0
481.0
21.0
80.0
68.0
63.0
193.0
""
215.0
164.0
203.0
""
""
""
68.0
""
25.0
83.0
""
110.0
107.0
""
""
""
971.0
26.0
46.0
""
59.0
27.0
116.0
132.0
""
22.0
97.0
102.0
""
""
26.0
""
74.0
23.0
""
""
23.0
174.0
29.0
""
433.0
115.0
""
99.0
""
23.0
""
""
174.0
854.0
""
2424.0
65.0
27.0
52.0
77.0
1459.0
188.0
36.0
150.0
31.0
""
182.0
382.0
27.0
40.0
32.0
32.0
409.0
30.0
29.0
455.0
""
""
109.0
""
""
106.0
261.0
""
""
36.0
63.0
63.0
216.0
20.0
209.0
80.0
34.0
47.0
97.0
178.0
428.0
37.0
69.0
73.0
55.0
90.0
""
""
165.0
170.0
123.0
600.0
50.0
54.0
32.0
30.0
47.0
31.0
532.0
77.0
56.0
67.0
448.0
151.0
136.0
92.0
""
43.0
""
35.0
""
67.0
""
""
46.0
23.0
39.0
126.0
24.0
32.0
77.0
271.0
21.0
78.0
498.0
87.0
55.0
""
106.0
31.0
""
251.0
22.0
128.0
47.0
160.0
252.0
272.0
240.0
3230.0
290.0
1583.0
1386.0
161.0
133.0
38.0
""
52.0
""
""
161.0
64.0
29.0
46.0
477.0
""
""
1351.0
282.0
24.0
172.0
895.0
24.0
""
""
""
""
""
""
""
""
37.0
""
51.0
992.0
""
46.0
69.0
""
""
""
35.0
40.0
""
45.0
65.0
27.0
58.0
125.0
63.0
25.0
71.0
41.0
48.0
20.0
162.0
28.0
""
23.0
51.0
120.0
28.0
30.0
116.0
""
99.0
171.0
436.0
26.0
1999.0
169.0
60.0
22.0
687.0
""
""
59.0
81.0
47.0
""
32.0
26.0
""
21.0
36.0
""
22.0
""
28.0
47.0
""
28.0
""
""
40.0
""
99.0
""
""
""
""
""
""
""
""
""
30.0
""
""
""
""
""
""
29.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
63.0
""
""
""
""
""
""
51.0
""
""
51.0
51.0
""
""
""
25.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
20.0
150.0
""
""
""
88.0
""
""
""
""
""
59.0
""
""
""
""
""
""
""
61.0
""
103.0
""
""
339.0
""
""
""
""
""
""
546.0
""
""
54.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
163.0
970.0
""
""
""
""
32.0
""
""
""
""
""
""
20.0
""
""
112.0
138.0
295.0
31.0
34.0
""
""
156.0
79.0
642.0
47.0
22.0
""
""
96.0
""
156.0
32.0
145.0
""
37.0
278.0
278.0
194.0
69.0
1111.0
85.0
""
73.0
292.0
57.0
""
""
""
34.0
""
""
66.0
53.0
""
73.0
""
""
""
""
""
""
""
""
""
""
""
""
33.0
""
""
406.0
""
638.0
""
""
""
94.0
""
""
""
""
""
""
65.0
146.0
33.0
94.0
1424.0
129.0
41.0
23.0
52.0
""
""
""
""
""
""
""
""
104.0
""
""
70.0
""
""
""
""
""
64.0
21.0
369.0
658.0
1051.0
43.0
102.0
75.0
52.0
218.0
42.0
""
111.0
44.0
88.0
1068.0
80.0
90.0
47.0
62.0
""
385.0
""
""
""
""
""
""
36.0
""
""
""
""
""
129.0
22.0
""
75.0
""
""
""
""
""
""
""
""
70.0
""
""
31.0
29.0
24.0
""
""
84.0
53.0
26.0
""
32.0
""
5330.0
242.0
618.0
""
48.0
""
""
""
332.0
""
1157.0
""
421.0
65.0
""
70.0
95.0
""
61.0
740.0
28.0
22.0
268.0
32.0
""
81.0
""
""
""
""
291.0
1057.0
57.0
128.0
""
""
""
""
""
35.0
94.0
""
""
136.0
76.0
144.0
""
98.0
462.0
393.0
707.0
266.0
2155.0
1819.0
24.0
""
""
260.0
349.0
3923.0
1044.0
""
""
1985.0
78.0
327.0
7502.0
47.0
24.0
37.0
34.0
308.0
48.0
121.0
1227.0
40.0
570.0
44.0
133.0
183.0
23.0
""
65.0
""
""
""
103.0
59.0
3473.0
