frac_below_median_other_male
0.33583775
0.54747421
""
""
0.66811591
""
""
0.60121113
""
""
""
""
""
""
""
0.34548086
0.51714921
""
""
""
""
0.61539257
0.49875838
0.57630688
0.70135593
0.48718026
0.84145832
0.53126252
""
""
""
""
""
""
0.44593757
0.53671062
0.49331126
""
0.6552906
0.36052993
0.47255114
0.43909448
""
""
0.40061423
""
""
0.47621739
0.63728571
""
0.50048167
0.40338036
""
""
""
""
0.67054117
0.53205848
0.33080009
""
0.65513796
""
0.52510202
0.64813143
""
""
""
""
""
0.45447588
0.57951975
""
""
""
0.40854365
""
""
0.35206255
0.6285404
0.39568144
0.4335731
""
""
0.47516704
0.40282902
""
""
""
0.49287787
0.41909879
""
""
""
""
""
""
0.61490256
0.37486494
0.48383299
0.42227048
""
""
""
0.47003716
0.65512681
0.61544627
0.46005017
0.51170051
""
0.56707501
0.45085907
""
""
0.54778755
0.58081126
0.59418958
""
""
""
""
""
""
""
""
""
""
0.66077018
0.70080864
0.76634848
""
""
""
""
0.56723458
""
""
0.69381922
""
""
0.89845145
0.82147872
""
0.62846386
""
""
0.42761511
""
""
""
""
""
""
""
0.38480943
""
""
0.62942415
0.85812235
""
""
""
""
""
""
""
""
""
0.80058265
0.6521731
""
0.50804943
""
""
0.55233777
""
""
0.6286779
""
""
""
0.92154056
""
0.77802187
0.4894582
""
""
0.35949895
""
0.4020412
0.58786958
0.50551587
0.51715118
0.28216779
0.60072434
0.29467115
0.53391397
0.53015345
0.53654486
0.38864553
0.56299466
0.46850601
0.45930669
0.5303821
0.45864958
0.47172871
0.49150625
0.32351848
0.54095989
0.51209378
0.52476096
""
""
0.41446167
0.32708845
0.44744584
0.36619562
0.30774966
""
0.43965983
0.47872555
0.32882664
0.43849182
0.43859196
0.44233519
0.42333668
0.39166018
0.3178122
0.40724522
0.26487061
0.37171113
0.52329743
""
0.6194793
0.34202382
0.39800841
0.52236319
0.50958115
0.61259896
""
0.51077336
0.536569
0.28928435
0.41233081
0.56196415
0.48372427
""
0.34959778
""
""
""
0.3040711
0.2917687
""
""
""
""
""
""
""
0.60084665
0.52389985
""
0.11336598
""
""
0.46276766
0.71791416
0.52000958
""
""
""
""
""
""
0.30019966
""
""
""
0.40890858
0.3563782
""
""
""
0.49451643
""
""
0.49265847
0.53656167
0.53536028
""
""
0.54085177
""
""
""
0.57012367
""
""
""
