kir_imm_hisp_male_n
""
""
""
24.0
47.0
""
81.0
""
""
20.0
21.0
154.0
""
""
29.0
""
""
27.0
""
""
""
169.0
""
20.0
137.0
""
34.0
86.0
155.0
""
""
""
108.0
66.0
""
33.0
""
""
""
""
""
""
""
""
""
""
314.0
""
42.0
""
35.0
22.0
""
""
""
26.0
""
""
""
""
""
30.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
57.0
""
""
""
""
90.0
""
""
61.0
34.0
""
""
""
""
""
""
""
""
90.0
1187.0
307.0
217.0
9140.0
1030.0
341.0
191.0
1773.0
201.0
236.0
21.0
88.0
63.0
""
60.0
""
56.0
58.0
53.0
""
""
""
24.0
""
""
40.0
""
45.0
23.0
""
""
""
629.0
""
23.0
""
96.0
""
31.0
64.0
""
""
42.0
23.0
""
""
""
""
37.0
""
""
""
""
34.0
""
""
87.0
26.0
""
25.0
""
""
""
""
63.0
209.0
""
2182.0
""
""
""
""
406.0
41.0
""
35.0
""
""
73.0
215.0
""
""
""
""
47.0
""
""
53.0
""
""
""
""
""
44.0
47.0
""
""
""
""
""
64.0
""
89.0
60.0
""
""
""
44.0
89.0
""
""
55.0
""
""
""
""
265.0
""
95.0
274.0
""
""
""
""
""
""
76.0
""
""
""
50.0
25.0
60.0
24.0
""
""
""
""
""
""
""
""
""
""
""
22.0
""
""
""
88.0
""
21.0
304.0
""
""
""
25.0
""
25.0
76.0
""
94.0
""
297.0
354.0
129.0
273.0
11495.0
273.0
4888.0
1282.0
98.0
43.0
""
""
""
""
""
22.0
""
""
""
505.0
""
""
1608.0
85.0
""
341.0
1565.0
""
""
""
""
""
""
""
""
""
31.0
""
""
190.0
""
""
""
""
""
""
""
""
""
53.0
""
""
20.0
53.0
""
""
20.0
""
""
""
54.0
""
""
""
""
22.0
""
""
80.0
""
51.0
123.0
422.0
26.0
6469.0
137.0
21.0
""
95.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
21.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
21.0
""
""
20.0
""
""
""
""
39.0
""
""
""
""
""
""
""
""
30.0
""
""
""
21.0
22.0
""
""
28.0
57.0
""
27.0
""
""
136.0
20.0
""
""
""
""
""
146.0
""
""
70.0
""
""
""
""
""
""
""
""
""
""
23.0
""
""
""
""
165.0
864.0
""
""
45.0
21.0
""
""
""
""
""
""
""
""
""
""
47.0
29.0
133.0
""
""
""
21.0
""
""
219.0
""
""
""
""
""
""
""
""
""
""
24.0
40.0
""
111.0
""
149.0
""
""
""
3592.0
78.0
""
95.0
""
139.0
""
185.0
149.0
85.0
64.0
157.0
53.0
""
""
""
70.0
70.0
21.0
""
51.0
34.0
34.0
65.0
74.0
""
24.0
694.0
""
1942.0
""
46.0
""
485.0
87.0
62.0
77.0
42.0
20.0
1013.0
3756.0
393.0
71.0
267.0
5673.0
148.0
74.0
21.0
121.0
""
""
72.0
207.0
273.0
47.0
""
""
99.0
""
""
48.0
""
""
20.0
34.0
35.0
138.0
44.0
228.0
1193.0
2744.0
30.0
121.0
62.0
58.0
74.0
20.0
""
21.0
""
""
272.0
""
""
""
""
""
68.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
185.0
""
20.0
""
52.0
""
""
""
414.0
""
2099.0
""
1197.0
29.0
""
38.0
52.0
""
""
""
53.0
40.0
164.0
31.0
""
""
""
""
""
""
128.0
308.0
34.0
90.0
""
""
""
""
""
""
30.0
""
""
83.0
""
40.0
""
""
1133.0
1259.0
2294.0
292.0
1505.0
2785.0
28.0
""
""
229.0
309.0
3370.0
1214.0
""
""
3621.0
1484.0
686.0
33344.0
""
""
85.0
62.0
26.0
""
""
286.0
32.0
232.0
""
326.0
224.0
""
""
""
""
""
""
28.0
""
480.0
