kir_stycz_natam_female_n
34.0
""
""
49.0
24.0
""
119.0
""
""
""
37.0
167.0
""
""
32.0
""
134.0
26.0
""
53.0
64.0
1908.0
91.0
""
131.0
24.0
44.0
56.0
122.0
""
""
""
101.0
38.0
54.0
63.0
""
""
""
""
62.0
""
""
""
""
""
133.0
339.0
49.0
51.0
79.0
46.0
""
""
""
55.0
""
41.0
""
""
""
85.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
67.0
""
""
""
""
98.0
""
""
23.0
244.0
80.0
""
""
""
28.0
""
""
""
28.0
159.0
39.0
53.0
152.0
98.0
32.0
46.0
100.0
42.0
104.0
""
22.0
""
""
52.0
""
73.0
54.0
31.0
""
""
""
""
""
""
""
""
20.0
21.0
""
""
""
195.0
""
""
""
""
""
32.0
37.0
""
""
34.0
33.0
""
""
""
""
28.0
195.0
""
""
""
67.0
""
""
129.0
157.0
43.0
23.0
""
""
""
""
25.0
190.0
""
310.0
92.0
29.0
228.0
39.0
481.0
63.0
82.0
66.0
""
""
58.0
177.0
64.0
66.0
""
""
70.0
""
""
93.0
""
""
""
""
""
""
60.0
""
""
""
""
""
64.0
""
70.0
33.0
""
""
""
43.0
80.0
""
""
20.0
""
""
""
""
35.0
38.0
36.0
100.0
""
""
""
""
27.0
""
122.0
""
""
""
67.0
21.0
35.0
""
""
""
""
""
""
""
""
""
""
""
""
22.0
""
""
""
128.0
""
""
306.0
""
68.0
""
29.0
61.0
""
37.0
""
20.0
""
32.0
32.0
44.0
31.0
433.0
25.0
163.0
209.0
30.0
58.0
""
""
42.0
27.0
33.0
71.0
39.0
""
""
135.0
""
""
180.0
63.0
""
""
160.0
""
63.0
37.0
""
43.0
98.0
28.0
""
""
""
""
55.0
587.0
22.0
113.0
23.0
""
""
""
40.0
""
""
""
""
""
23.0
148.0
227.0
159.0
69.0
44.0
39.0
""
59.0
""
""
""
""
20.0
""
""
31.0
""
29.0
51.0
255.0
""
281.0
29.0
""
""
156.0
""
""
""
25.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
217.0
""
""
""
""
""
""
""
""
""
116.0
""
""
""
61.0
""
136.0
34.0
""
""
""
""
""
""
51.0
""
""
""
""
31.0
""
30.0
""
123.0
""
""
83.0
42.0
""
33.0
231.0
""
""
59.0
78.0
""
""
""
21.0
""
""
""
""
20.0
20.0
""
""
36.0
48.0
""
31.0
""
""
""
""
""
""
""
""
""
39.0
""
""
""
256.0
39.0
""
""
63.0
31.0
20.0
""
106.0
""
""
""
""
""
77.0
48.0
60.0
""
""
138.0
""
""
""
""
""
""
118.0
""
""
43.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
58.0
396.0
""
""
""
""
""
""
""
""
""
""
""
""
33.0
""
23.0
136.0
183.0
""
27.0
""
""
251.0
""
235.0
""
""
""
""
26.0
""
75.0
""
300.0
""
37.0
678.0
1200.0
375.0
89.0
2733.0
223.0
""
84.0
88.0
105.0
""
""
""
24.0
""
""
24.0
""
""
39.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
98.0
""
125.0
""
""
""
44.0
""
""
""
""
""
""
""
46.0
""
27.0
347.0
79.0
""
""
""
""
""
""
""
""
""
""
""
26.0
""
""
41.0
""
""
""
""
""
27.0
""
53.0
258.0
467.0
39.0
38.0
30.0
26.0
279.0
24.0
""
303.0
77.0
209.0
1938.0
303.0
173.0
23.0
233.0
""
633.0
""
""
96.0
96.0
46.0
29.0
77.0
26.0
60.0
306.0
61.0
""
218.0
101.0
96.0
91.0
""
""
""
83.0
81.0
""
""
24.0
142.0
""
""
21.0
20.0
""
""
""
120.0
49.0
""
""
""
""
42.0
""
""
""
172.0
""
""
""
1195.0
31.0
1918.0
85.0
703.0
33.0
""
1287.0
594.0
89.0
1616.0
""
""
""
105.0
""
""
55.0
""
""
""
""
62.0
312.0
26.0
136.0
""
""
""
34.0
""
""
93.0
""
""
104.0
149.0
59.0
47.0
80.0
125.0
143.0
324.0
149.0
448.0
198.0
73.0
""
""
256.0
157.0
353.0
300.0
""
55.0
317.0
87.0
79.0
1294.0
49.0
""
""
22.0
195.0
70.0
106.0
408.0
23.0
274.0
39.0
231.0
109.0
""
""
63.0
""
""
""
138.0
78.0
1186.0
