stayhome_natam_female_n
36.0
""
""
62.0
40.0
""
120.0
""
""
20.0
46.0
174.0
""
""
33.0
""
95.0
31.0
""
54.0
68.0
1420.0
96.0
""
137.0
27.0
48.0
62.0
153.0
""
""
""
121.0
65.0
59.0
63.0
""
""
""
""
56.0
""
""
""
""
""
163.0
290.0
52.0
57.0
79.0
43.0
""
""
""
70.0
""
36.0
""
""
""
94.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
84.0
""
""
""
""
106.0
""
""
30.0
257.0
83.0
20.0
""
""
32.0
""
""
""
32.0
169.0
46.0
80.0
169.0
121.0
51.0
66.0
136.0
53.0
136.0
""
31.0
27.0
24.0
67.0
""
94.0
60.0
43.0
""
""
""
20.0
""
""
""
""
30.0
26.0
""
""
""
230.0
""
""
""
""
""
40.0
32.0
""
""
47.0
39.0
""
""
""
""
40.0
148.0
""
""
""
72.0
""
""
160.0
133.0
40.0
29.0
""
""
""
""
40.0
207.0
""
380.0
107.0
33.0
269.0
47.0
533.0
78.0
77.0
84.0
28.0
23.0
74.0
196.0
76.0
72.0
""
23.0
76.0
""
""
108.0
""
""
22.0
""
""
""
62.0
""
""
""
21.0
""
67.0
""
73.0
44.0
""
22.0
""
54.0
94.0
""
""
22.0
""
23.0
""
""
48.0
40.0
35.0
126.0
""
20.0
""
""
29.0
""
124.0
""
""
""
81.0
31.0
37.0
21.0
""
""
""
""
""
""
""
""
""
""
""
23.0
""
""
""
131.0
""
""
255.0
""
68.0
""
43.0
59.0
""
45.0
""
23.0
""
36.0
49.0
60.0
35.0
443.0
32.0
176.0
224.0
40.0
62.0
""
""
41.0
23.0
33.0
80.0
41.0
""
""
114.0
""
""
195.0
78.0
""
22.0
187.0
""
72.0
34.0
""
38.0
93.0
25.0
""
""
""
""
56.0
542.0
27.0
99.0
32.0
""
""
""
42.0
""
""
""
""
""
33.0
195.0
254.0
141.0
88.0
57.0
51.0
""
75.0
""
""
""
""
33.0
""
""
31.0
""
26.0
58.0
270.0
""
346.0
35.0
25.0
""
188.0
""
""
""
33.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
200.0
""
""
""
""
""
""
""
""
""
84.0
""
""
""
50.0
""
83.0
34.0
""
""
""
""
""
""
37.0
""
""
""
""
20.0
""
30.0
""
112.0
23.0
""
66.0
31.0
""
36.0
161.0
""
""
53.0
68.0
""
""
""
27.0
""
""
""
""
""
""
""
""
26.0
34.0
""
41.0
""
20.0
""
""
""
""
""
""
""
45.0
""
""
""
226.0
36.0
""
""
50.0
30.0
24.0
""
90.0
""
""
""
""
""
68.0
39.0
72.0
""
""
141.0
""
""
""
""
""
""
147.0
""
""
45.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
71.0
387.0
""
""
""
""
""
""
""
""
""
""
""
""
42.0
""
38.0
165.0
216.0
""
43.0
""
""
301.0
""
278.0
30.0
""
""
""
36.0
""
102.0
27.0
351.0
""
36.0
585.0
1085.0
388.0
131.0
2586.0
249.0
""
116.0
116.0
75.0
""
""
""
28.0
""
""
31.0
""
""
47.0
21.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
130.0
""
153.0
""
""
""
54.0
""
""
""
""
""
""
21.0
62.0
""
49.0
403.0
80.0
""
""
""
""
""
""
""
""
""
""
""
40.0
""
""
53.0
""
""
""
""
""
34.0
""
61.0
314.0
538.0
51.0
58.0
39.0
36.0
276.0
35.0
""
294.0
71.0
204.0
1812.0
311.0
193.0
28.0
226.0
22.0
610.0
""
""
90.0
89.0
50.0
34.0
95.0
38.0
63.0
261.0
64.0
""
201.0
65.0
91.0
97.0
""
""
""
39.0
65.0
""
""
24.0
131.0
""
""
34.0
30.0
23.0
""
""
87.0
49.0
""
""
25.0
""
63.0
""
""
""
123.0
""
""
""
886.0
25.0
1486.0
61.0
459.0
43.0
""
978.0
583.0
93.0
1562.0
""
22.0
22.0
111.0
""
""
75.0
""
""
""
""
75.0
333.0
38.0
98.0
""
""
""
""
""
22.0
87.0
""
""
99.0
118.0
67.0
43.0
97.0
171.0
146.0
322.0
139.0
462.0
257.0
67.0
""
""
246.0
150.0
436.0
299.0
""
45.0
344.0
86.0
86.0
1433.0
45.0
""
""
28.0
176.0
79.0
115.0
435.0
35.0
302.0
43.0
172.0
109.0
""
""
69.0
""
""
""
103.0
75.0
1080.0
