kfr_native_black_pooled_n
243.0
86.0
""
754.0
1586.0
362.0
3954.0
48.0
24.0
1360.0
1080.0
5762.0
""
103.0
653.0
""
""
346.0
""
595.0
3706.0
3704.0
1390.0
1545.0
5314.0
445.0
1453.0
2600.0
6918.0
591.0
1011.0
744.0
5682.0
3454.0
1461.0
1710.0
716.0
872.0
458.0
468.0
4607.0
847.0
311.0
64.0
659.0
876.0
8868.0
933.0
4577.0
1098.0
1687.0
2617.0
1928.0
132.0
276.0
3916.0
495.0
102.0
120.0
1615.0
681.0
2812.0
300.0
163.0
33.0
62.0
""
32.0
33.0
""
821.0
1359.0
2058.0
1108.0
555.0
43.0
915.0
276.0
234.0
8939.0
1417.0
247.0
62.0
329.0
3336.0
177.0
191.0
1008.0
1836.0
374.0
384.0
41.0
24.0
1255.0
""
""
130.0
538.0
4111.0
1319.0
716.0
7017.0
2553.0
539.0
833.0
3283.0
928.0
4350.0
454.0
469.0
864.0
1790.0
5466.0
701.0
3560.0
2840.0
3648.0
356.0
188.0
349.0
1305.0
464.0
409.0
957.0
571.0
2442.0
2584.0
502.0
601.0
659.0
16552.0
733.0
675.0
249.0
293.0
753.0
1969.0
2612.0
513.0
873.0
1881.0
405.0
303.0
367.0
1551.0
522.0
1675.0
1053.0
970.0
888.0
179.0
5228.0
1651.0
698.0
1684.0
3291.0
414.0
2884.0
391.0
109.0
38.0
""
858.0
10170.0
217.0
17772.0
""
21.0
""
285.0
18938.0
732.0
38.0
943.0
72.0
24.0
889.0
1605.0
30.0
""
""
25.0
2673.0
72.0
81.0
4310.0
48.0
""
986.0
""
75.0
433.0
3086.0
""
118.0
151.0
114.0
356.0
1619.0
41.0
1609.0
270.0
""
138.0
555.0
873.0
3819.0
40.0
133.0
245.0
72.0
352.0
""
""
2773.0
665.0
719.0
8003.0
46.0
104.0
101.0
78.0
102.0
55.0
3690.0
277.0
53.0
148.0
3121.0
1384.0
400.0
678.0
""
99.0
""
206.0
""
296.0
""
25.0
129.0
83.0
242.0
283.0
67.0
112.0
731.0
1063.0
52.0
147.0
3612.0
191.0
51.0
""
178.0
21.0
35.0
720.0
35.0
320.0
120.0
345.0
524.0
1137.0
898.0
16608.0
1051.0
9116.0
14554.0
1893.0
1604.0
483.0
192.0
32.0
""
""
102.0
54.0
""
40.0
612.0
""
""
2370.0
185.0
""
522.0
3901.0
50.0
""
""
""
""
""
""
""
""
27.0
""
44.0
2391.0
""
""
52.0
""
""
""
20.0
273.0
""
68.0
104.0
23.0
27.0
80.0
70.0
""
55.0
46.0
58.0
24.0
317.0
20.0
29.0
""
197.0
792.0
69.0
67.0
458.0
25.0
662.0
781.0
4785.0
460.0
22916.0
798.0
182.0
28.0
8810.0
44.0
48.0
429.0
486.0
131.0
""
""
""
""
27.0
220.0
239.0
193.0
21.0
113.0
367.0
""
368.0
59.0
584.0
188.0
""
57.0
""
""
76.0
46.0
27.0
""
""
""
""
""
""
""
""
""
""
""
59.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
31.0
""
""
""
""
""
""
21.0
""
""
30.0
26.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
24.0
389.0
""
""
""
45.0
""
""
""
""
""
49.0
""
""
""
""
""
""
20.0
72.0
""
150.0
""
""
1343.0
""
""
""
""
""
""
803.0
""
""
57.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
48.0
1898.0
""
""
""
""
49.0
""
""
""
""
""
""
54.0
""
""
337.0
369.0
935.0
25.0
30.0
""
20.0
125.0
217.0
4552.0
92.0
53.0
""
""
373.0
""
159.0
""
73.0
""
54.0
245.0
287.0
82.0
51.0
1732.0
153.0
""
56.0
580.0
65.0
""
""
""
38.0
""
80.0
497.0
106.0
32.0
251.0
54.0
""
""
""
73.0
23.0
""
""
31.0
""
""
""
212.0
89.0
21.0
1779.0
""
2139.0
27.0
""
""
319.0
""
""
""
""
""
""
41.0
345.0
477.0
609.0
12627.0
2248.0
515.0
338.0
113.0
""
""
""
26.0
""
53.0
""
21.0
252.0
""
""
311.0
""
""
35.0
49.0
""
867.0
354.0
1447.0
3939.0
9315.0
416.0
1216.0
1240.0
976.0
668.0
109.0
23.0
144.0
20.0
70.0
2586.0
47.0
206.0
623.0
136.0
""
343.0
""
""
""
""
""
""
""
""
""
""
""
""
146.0
""
""
46.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
651.0
""
20.0
""
21.0
""
""
""
301.0
""
1994.0
""
565.0
""
""
""
46.0
""
32.0
""
""
""
85.0
""
""
""
""
""
""
""
29.0
278.0
""
36.0
""
""
""
""
""
""
32.0
""
""
23.0
""
""
""
""
360.0
594.0
834.0
121.0
2724.0
1050.0
""
""
""
165.0
107.0
5851.0
1975.0
""
""
2303.0
91.0
214.0
15174.0
""
""
""
""
138.0
""
47.0
879.0
""
146.0
""
60.0
84.0
""
""
""
""
""
""
23.0
""
2660.0
