pos_hours_black_male_n
22.0
31.0
38.0
""
""
""
36.0
65.0
50.0
""
""
""
22.0
""
""
27.0
21.0
""
""
""
""
""
37.0
55.0
""
27.0
23.0
47.0
""
""
""
24.0
""
20.0
132.0
""
614.0
""
""
""
50.0
21.0
29.0
41.0
135.0
30.0
""
""
384.0
""
272.0
44.0
22.0
27.0
29.0
""
40.0
""
33.0
""
59.0
23.0
112.0
""
""
""
""
""
""
51.0
""
""
""
""
21.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
22.0
""
""
""
""
""
275.0
""
""
65.0
""
""
""
""
""
""
""
""
""
""
""
""
24.0
""
""
""
""
""
""
""
""
69.0
""
""
""
""
20.0
""
""
21.0
""
""
""
""
""
""
""
""
98.0
""
""
""
""
""
""
""
""
""
""
34.0
43.0
""
""
""
""
26.0
""
39.0
""
""
""
""
""
275.0
""
31.0
""
""
""
""
""
""
""
32.0
""
""
""
""
""
392.0
""
""
""
""
""
211.0
""
""
99.0
""
""
""
""
78.0
""
""
""
1829.0
""
""
""
""
27.0
""
""
31.0
""
""
129.0
""
""
260.0
282.0
""
437.0
365.0
122.0
97.0
""
81.0
34.0
155.0
""
""
""
""
162.0
20.0
23.0
""
""
""
""
""
48.0
""
""
38.0
""
122.0
""
""
""
""
""
""
""
""
""
""
""
""
""
161.0
""
""
""
""
112.0
""
""
""
""
""
""
""
""
26.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
205.0
205.0
""
""
144.0
33.0
""
""
98.0
302.0
75.0
803.0
87.0
""
44.0
""
74.0
727.0
""
""
""
39.0
25.0
24.0
""
""
451.0
152.0
""
""
63.0
""
""
""
""
""
""
23.0
""
349.0
""
""
39.0
""
""
49.0
89.0
155.0
""
""
""
50.0
59.0
""
999.0
""
""
51.0
""
360.0
40.0
397.0
23.0
176.0
168.0
28.0
""
87.0
""
32.0
114.0
""
""
""
""
83.0
""
""
""
""
""
""
""
36.0
