hours_wk_natam_pooled_n
""
""
""
""
""
""
20.0
""
""
""
""
42.0
""
""
""
""
21.0
""
""
""
""
303.0
27.0
""
24.0
""
""
""
24.0
""
""
""
30.0
""
""
""
""
""
""
""
""
""
""
""
""
""
32.0
58.0
""
""
20.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
32.0
""
""
""
56.0
""
""
""
""
""
""
""
""
""
24.0
""
""
34.0
24.0
""
""
27.0
""
21.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
29.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
36.0
""
""
""
""
""
""
24.0
26.0
""
""
""
""
""
""
""
41.0
""
55.0
28.0
""
113.0
""
111.0
""
24.0
20.0
""
""
22.0
51.0
""
29.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
23.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
28.0
""
""
58.0
""
35.0
""
""
""
""
""
""
""
""
""
""
""
""
64.0
""
40.0
42.0
""
""
""
""
""
""
""
""
""
""
""
27.0
""
""
45.0
""
""
""
40.0
""
38.0
20.0
""
""
38.0
""
""
""
""
""
25.0
160.0
""
59.0
""
""
""
""
21.0
""
""
""
""
""
""
38.0
48.0
56.0
30.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
59.0
""
61.0
""
""
""
33.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
87.0
""
""
""
""
""
""
""
""
""
26.0
""
""
""
33.0
""
55.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
35.0
""
""
28.0
34.0
""
""
114.0
""
""
""
23.0
""
""
""
""
""
""
""
""
""
""
""
""
""
22.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
72.0
21.0
""
""
31.0
""
""
""
46.0
""
""
""
""
""
22.0
34.0
""
""
""
31.0
""
""
""
""
""
""
21.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
21.0
102.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
54.0
47.0
""
""
""
""
98.0
""
53.0
""
""
""
""
""
""
""
""
115.0
""
""
262.0
379.0
138.0
45.0
808.0
88.0
""
33.0
32.0
25.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
74.0
26.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
58.0
104.0
""
""
""
""
80.0
""
""
89.0
""
58.0
436.0
120.0
52.0
""
83.0
""
174.0
""
""
81.0
104.0
49.0
""
""
20.0
29.0
285.0
72.0
""
85.0
55.0
39.0
""
""
""
""
32.0
43.0
""
""
""
44.0
""
""
""
""
""
""
""
37.0
""
""
""
""
""
""
""
""
""
79.0
""
""
""
323.0
""
352.0
20.0
135.0
""
""
425.0
207.0
33.0
578.0
""
""
""
22.0
""
""
20.0
""
""
""
""
""
77.0
""
31.0
""
""
""
""
""
""
36.0
""
""
27.0
44.0
""
""
24.0
28.0
32.0
73.0
39.0
110.0
42.0
34.0
""
""
92.0
41.0
79.0
82.0
""
24.0
88.0
31.0
""
271.0
""
""
""
""
50.0
44.0
36.0
85.0
""
58.0
""
56.0
36.0
""
""
""
""
""
""
56.0
34.0
295.0
