comcoll_other_female_n
23.0
""
""
50.0
29.0
""
78.0
""
""
""
""
95.0
""
""
22.0
""
""
""
""
""
27.0
122.0
23.0
""
119.0
""
26.0
68.0
210.0
""
""
""
107.0
106.0
""
46.0
""
""
""
""
23.0
""
""
""
""
""
133.0
""
30.0
""
43.0
36.0
""
""
""
51.0
""
""
""
""
""
66.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
70.0
""
""
""
""
91.0
""
""
50.0
61.0
25.0
""
""
""
33.0
""
""
""
28.0
203.0
27.0
57.0
270.0
123.0
37.0
80.0
189.0
36.0
126.0
""
32.0
26.0
""
54.0
""
70.0
43.0
68.0
""
""
""
20.0
""
""
24.0
""
35.0
34.0
""
""
""
319.0
""
""
""
""
""
34.0
52.0
""
""
""
37.0
""
""
""
""
25.0
""
""
""
""
66.0
""
""
132.0
30.0
""
27.0
""
""
""
""
43.0
285.0
""
768.0
""
""
""
35.0
507.0
71.0
""
62.0
""
""
74.0
155.0
""
""
""
""
144.0
""
""
139.0
""
""
49.0
""
""
41.0
96.0
""
""
""
""
23.0
89.0
""
76.0
39.0
""
""
20.0
50.0
125.0
""
""
21.0
22.0
31.0
""
""
60.0
56.0
59.0
232.0
""
""
""
""
21.0
""
172.0
28.0
25.0
24.0
200.0
58.0
53.0
28.0
""
""
""
""
""
24.0
""
""
""
""
""
48.0
""
""
25.0
75.0
""
25.0
184.0
38.0
""
""
26.0
""
""
76.0
""
40.0
""
47.0
100.0
85.0
100.0
1073.0
106.0
478.0
482.0
64.0
61.0
""
""
23.0
""
""
82.0
30.0
""
28.0
188.0
""
""
422.0
93.0
""
58.0
280.0
""
""
""
""
""
""
""
""
""
""
""
29.0
437.0
""
31.0
23.0
""
""
""
""
20.0
""
""
23.0
""
""
49.0
39.0
""
41.0
22.0
30.0
""
72.0
""
""
""
21.0
32.0
""
""
49.0
""
47.0
49.0
169.0
""
696.0
65.0
26.0
""
209.0
""
""
25.0
38.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
38.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
21.0
""
""
""
""
""
""
31.0
""
""
""
22.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
67.0
""
""
""
42.0
""
""
""
""
""
21.0
""
""
""
""
""
""
""
""
""
34.0
""
""
99.0
""
""
""
""
""
""
176.0
""
""
22.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
56.0
305.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
37.0
67.0
75.0
""
""
""
""
42.0
24.0
219.0
22.0
""
""
""
34.0
""
48.0
""
71.0
""
""
107.0
105.0
64.0
27.0
372.0
46.0
""
21.0
90.0
""
""
""
""
""
""
""
24.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
117.0
""
160.0
""
""
""
""
""
""
""
""
""
""
""
39.0
""
20.0
344.0
24.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
22.0
""
108.0
194.0
285.0
""
25.0
25.0
20.0
90.0
""
""
38.0
""
28.0
340.0
54.0
25.0
""
31.0
""
152.0
""
""
""
""
""
""
23.0
""
""
""
""
""
30.0
""
""
29.0
""
""
""
""
""
""
""
""
26.0
""
""
""
""
""
""
""
32.0
""
""
""
""
""
1659.0
75.0
256.0
""
31.0
""
""
""
108.0
""
419.0
""
140.0
23.0
""
""
47.0
""
21.0
251.0
""
""
58.0
""
""
""
""
""
""
""
66.0
216.0
""
28.0
""
""
""
""
""
""
29.0
""
""
53.0
21.0
41.0
""
27.0
158.0
109.0
171.0
91.0
675.0
523.0
""
""
""
79.0
126.0
1161.0
359.0
""
""
602.0
24.0
100.0
2436.0
""
""
""
""
97.0
""
40.0
388.0
""
167.0
""
26.0
52.0
""
""
""
""
""
""
27.0
22.0
1067.0
