kir_imm_pooled_pooled_n
50.0
87.0
""
""
29.0
""
""
157.0
""
""
""
""
""
""
""
134.0
""
""
""
""
""
34.0
195.0
""
49.0
73.0
""
39.0
""
""
""
""
""
""
114.0
33.0
325.0
""
32.0
""
117.0
44.0
""
""
505.0
""
""
67.0
284.0
""
218.0
65.0
""
""
23.0
""
54.0
25.0
120.0
""
26.0
""
71.0
""
""
""
""
""
""
869.0
""
""
""
""
232.0
""
""
76.0
53.0
38.0
63.0
""
""
61.0
""
""
""
""
""
20.0
""
""
""
""
""
""
""
583.0
151.0
43.0
32.0
""
50.0
8007.0
248.0
54.0
2855.0
335.0
533.0
193.0
1260.0
""
""
""
239.0
""
""
""
32.0
""
""
""
""
""
""
""
32.0
68.0
23.0
""
""
""
""
70.0
""
""
58.0
""
""
30.0
""
""
30.0
""
""
40.0
25.0
""
""
""
""
""
""
66.0
""
""
20.0
31.0
""
""
""
""
""
""
""
""
""
26.0
58.0
""
366.0
""
""
56.0
""
""
224.0
29.0
""
""
39.0
""
247.0
40.0
""
29.0
8822.0
""
28.0
410.0
37.0
74.0
5306.0
35.0
291.0
4089.0
109.0
159.0
2298.0
34.0
3689.0
704.0
59.0
39.0
83509.0
604.0
819.0
""
139.0
1529.0
""
""
2951.0
582.0
102.0
19457.0
637.0
""
9651.0
5361.0
393.0
10660.0
16331.0
5769.0
3320.0
513.0
6164.0
1950.0
12388.0
1235.0
222.0
""
61.0
2777.0
1371.0
2588.0
466.0
146.0
""
2236.0
54.0
4912.0
789.0
276.0
1107.0
""
1690.0
""
""
""
516.0
97.0
""
""
""
""
""
""
""
25.0
1660.0
""
355.0
23.0
36.0
1682.0
44.0
73.0
""
""
""
""
""
""
1000.0
""
""
""
49.0
289.0
26.0
""
25.0
120.0
""
""
25.0
43.0
82.0
22.0
""
""
""
""
27.0
172.0
""
33.0
""
""
""
""
""
""
27.0
""
371.0
""
3692.0
3552.0
328.0
294.0
2341.0
546.0
277.0
189.0
218.0
906.0
174.0
1445.0
413.0
""
330.0
""
1221.0
9695.0
""
297.0
138.0
385.0
702.0
49.0
37.0
""
1733.0
530.0
146.0
""
53.0
""
""
""
""
45.0
121.0
259.0
173.0
3621.0
""
187.0
30.0
""
""
400.0
1019.0
338.0
44.0
""
""
542.0
433.0
195.0
22743.0
235.0
74.0
639.0
65.0
4752.0
1352.0
4472.0
701.0
1904.0
1080.0
47.0
228.0
590.0
283.0
627.0
1662.0
22.0
30.0
""
""
991.0
""
50.0
21.0
""
""
""
""
23.0
""
69.0
59.0
""
""
120.0
""
""
""
52.0
21.0
""
""
""
94.0
""
76.0
30.0
""
309.0
123.0
""
193.0
137.0
""
711.0
""
1280.0
24.0
25.0
308.0
""
105.0
""
""
""
""
""
1835.0
""
""
78.0
130.0
""
""
26.0
""
""
""
""
279.0
72.0
166.0
""
1330.0
""
""
61.0
56.0
""
""
2060.0
53.0
277.0
""
""
31.0
""
""
247.0
224.0
""
49.0
""
""
""
""
""
""
""
""
31.0
20.0
279.0
""
""
133.0
""
""
""
""
""
""
""
""
""
""
""
""
22.0
470.0
63.0
44.0
""
95.0
20.0
""
""
""
34.0
""
""
""
""
""
412.0
87.0
""
""
""
36.0
""
""
""
""
""
""
""
""
