kfr_native_hisp_male_n
""
""
""
""
""
""
""
36.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
24.0
""
""
""
""
""
""
""
""
""
""
""
20.0
""
55.0
""
""
""
21.0
""
""
""
62.0
""
""
""
44.0
""
29.0
20.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
140.0
""
""
""
""
50.0
""
""
22.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
20.0
241.0
109.0
72.0
105.0
49.0
21.0
3553.0
136.0
91.0
1629.0
327.0
89.0
134.0
209.0
""
""
""
63.0
""
""
""
""
""
""
""
""
""
""
""
""
23.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
74.0
""
""
""
""
""
25.0
""
""
""
""
""
65.0
""
""
""
1211.0
""
26.0
183.0
32.0
28.0
721.0
30.0
112.0
1801.0
27.0
57.0
338.0
""
1235.0
289.0
45.0
30.0
9256.0
257.0
91.0
""
64.0
425.0
""
""
539.0
110.0
52.0
2328.0
262.0
""
2465.0
1219.0
161.0
3350.0
2389.0
240.0
1036.0
243.0
477.0
568.0
1846.0
232.0
117.0
""
43.0
464.0
323.0
723.0
97.0
57.0
""
855.0
50.0
1038.0
222.0
96.0
825.0
66.0
518.0
""
""
24.0
203.0
54.0
""
""
""
43.0
""
""
""
33.0
1098.0
""
123.0
""
""
628.0
45.0
31.0
""
""
""
""
29.0
""
683.0
""
""
""
54.0
223.0
83.0
""
21.0
112.0
""
""
33.0
40.0
68.0
95.0
""
""
""
""
33.0
644.0
""
71.0
""
23.0
""
""
""
""
""
""
374.0
""
328.0
297.0
28.0
27.0
259.0
83.0
24.0
38.0
53.0
122.0
30.0
67.0
53.0
""
37.0
""
190.0
756.0
""
44.0
23.0
58.0
104.0
""
""
""
198.0
93.0
20.0
""
""
""
""
""
""
23.0
23.0
67.0
34.0
661.0
""
34.0
""
""
""
85.0
206.0
38.0
""
""
""
100.0
88.0
35.0
1110.0
52.0
""
80.0
""
552.0
198.0
427.0
160.0
221.0
207.0
23.0
33.0
75.0
44.0
73.0
226.0
""
""
""
""
182.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
22.0
""
""
""
""
54.0
33.0
""
32.0
20.0
""
52.0
""
123.0
""
""
24.0
""
""
""
""
""
""
""
94.0
""
""
""
""
""
""
""
""
""
""
""
32.0
""
""
""
95.0
""
""
""
""
""
""
127.0
""
31.0
""
""
""
""
""
30.0
69.0
""
""
""
""
""
""
""
""
""
""
""
""
26.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
87.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
61.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
131.0
647.0
45.0
103.0
127.0
""
64.0
""
""
32.0
""
""
""
53.0
""
""
""
180.0
""
32.0
""
""
""
20.0
""
""
""
""
""
""
""
42.0
""
""
""
""
""
41.0
""
""
""
29.0
""
""
""
54.0
""
""
""
