lpov_nbh_hisp_pooled_n
564.0
373.0
41.0
1119.0
1400.0
100.0
2488.0
147.0
83.0
694.0
827.0
4224.0
82.0
267.0
943.0
63.0
77.0
824.0
71.0
92.0
834.0
3481.0
671.0
495.0
4302.0
109.0
919.0
2053.0
4669.0
197.0
196.0
310.0
2640.0
2292.0
152.0
1312.0
99.0
212.0
33.0
44.0
721.0
100.0
42.0
""
54.0
104.0
6525.0
537.0
1445.0
361.0
1147.0
952.0
400.0
40.0
34.0
1190.0
85.0
53.0
66.0
301.0
159.0
1505.0
44.0
162.0
88.0
107.0
""
35.0
69.0
98.0
73.0
117.0
154.0
312.0
143.0
54.0
223.0
141.0
80.0
2342.0
215.0
277.0
94.0
443.0
2845.0
280.0
239.0
1265.0
1160.0
605.0
318.0
159.0
162.0
690.0
139.0
76.0
382.0
2488.0
24112.0
6660.0
4662.0
117887.0
17555.0
7667.0
4054.0
30402.0
4385.0
5841.0
422.0
2357.0
1271.0
525.0
1708.0
72.0
1599.0
1833.0
1665.0
55.0
67.0
54.0
726.0
271.0
228.0
800.0
153.0
1265.0
983.0
230.0
85.0
95.0
14242.0
175.0
620.0
119.0
1984.0
152.0
1020.0
1678.0
116.0
206.0
1168.0
698.0
65.0
148.0
324.0
38.0
681.0
219.0
78.0
87.0
112.0
1369.0
254.0
49.0
2705.0
904.0
56.0
647.0
69.0
98.0
""
29.0
1325.0
6234.0
64.0
32620.0
130.0
118.0
75.0
1366.0
13744.0
2367.0
479.0
2828.0
218.0
192.0
1932.0
6893.0
303.0
129.0
134.0
180.0
1985.0
130.0
152.0
2521.0
45.0
160.0
809.0
36.0
89.0
807.0
1739.0
75.0
63.0
170.0
1286.0
621.0
4079.0
682.0
2728.0
1782.0
464.0
600.0
732.0
1917.0
3430.0
289.0
331.0
1148.0
365.0
498.0
52.0
91.0
7669.0
754.0
2948.0
6353.0
182.0
160.0
133.0
127.0
186.0
110.0
2749.0
449.0
231.0
327.0
2109.0
1487.0
1341.0
579.0
40.0
242.0
30.0
140.0
24.0
247.0
27.0
71.0
248.0
545.0
282.0
843.0
102.0
312.0
532.0
2237.0
263.0
515.0
7369.0
524.0
233.0
27.0
645.0
197.0
498.0
2432.0
239.0
2709.0
240.0
5401.0
7191.0
3263.0
6542.0
187675.0
6321.0
72863.0
27867.0
2781.0
1352.0
293.0
78.0
252.0
22.0
75.0
810.0
310.0
91.0
298.0
7991.0
""
""
25161.0
2520.0
135.0
5653.0
25206.0
271.0
78.0
55.0
39.0
76.0
129.0
86.0
235.0
93.0
561.0
472.0
383.0
7327.0
74.0
184.0
484.0
391.0
259.0
70.0
538.0
402.0
85.0
1062.0
465.0
287.0
577.0
1288.0
908.0
108.0
621.0
428.0
358.0
166.0
1422.0
199.0
166.0
114.0
554.0
713.0
284.0
370.0
2535.0
124.0
1823.0
3962.0
9251.0
711.0
102901.0
4210.0
535.0
151.0
4311.0
32.0
169.0
435.0
673.0
149.0
74.0
160.0
241.0
75.0
120.0
167.0
234.0
191.0
55.0
192.0
371.0
50.0
225.0
101.0
213.0
322.0
""
346.0
""
21.0
81.0
119.0
43.0
39.0
73.0
42.0
49.0
137.0
""
""
""
""
""
""
222.0
""
""
""
""
""
""
""
""
""
28.0
38.0
42.0
45.0
41.0
""
437.0
61.0
""
""
""
""
54.0
147.0
113.0
59.0
463.0
564.0
27.0
58.0
""
175.0
85.0
25.0
""
""
