kid_hisp_pooled_n
1721
1594
129
2829
9645
817
14073
901
730
2898
3794
20753
248
1682
4559
366
248
3887
148
349
2602
12942
2837
3161
25565
823
6770
7604
11734
1098
625
658
7199
5520
480
3008
369
540
152
123
2075
253
108
72
174
277
15586
1446
3691
809
2396
2283
968
92
90
2794
213
179
289
1174
342
4499
112
492
302
298
68
229
234
327
272
432
545
1074
466
163
953
481
321
8553
659
931
281
1222
12124
1468
550
4008
3985
3930
1533
824
713
2191
482
657
1279
12628
76194
24020
16854
356718
58028
29953
9172
84912
11355
14425
1611
6025
3342
1213
4837
299
4073
6787
4129
234
311
353
4165
1979
739
3317
844
4525
2497
1728
339
267
76040
612
2977
316
11883
352
2528
3514
635
592
3552
1175
480
658
932
248
1723
504
309
354
553
5925
864
197
5836
2444
206
1341
237
304
68
182
2747
15919
374
128101
331
374
242
4348
53421
8092
1373
8889
568
636
7157
30763
1072
342
241
384
4437
285
369
7531
121
331
3359
141
341
1555
5796
274
282
540
3638
1723
13615
1739
9777
9225
1768
2026
2112
6681
13413
952
796
5188
1159
1430
155
164
24447
2077
9257
23173
353
364
265
274
477
299
9270
1048
611
778
5742
4333
5488
1564
101
602
66
364
85
654
46
372
692
2498
737
2291
264
943
1507
8820
922
1762
32458
1582
650
85
1836
551
1765
9230
762
7643
541
20240
29148
11520
26019
796249
20961
277643
115819
10195
4839
828
846
670
101
185
2118
931
260
799
42881
36
49
116892
7658
374
32032
115660
948
176
124
105
255
390
207
1135
511
2099
2049
1242
36486
165
439
1635
1461
792
238
2124
1257
454
3860
1201
688
2056
4265
3652
344
1638
1064
968
328
5428
737
305
273
1743
1992
790
1033
8378
313
5137
14991
39141
2497
508824
15669
1072
332
12090
106
638
966
1766
436
220
386
1133
210
305
505
647
437
146
552
1275
139
669
271
993
1110
37
944
21
42
208
476
57
77
222
122
127
312
12
28
7
67
11
69
460
19
18
4
10
20
18
84
21
55
45
96
160
91
143
40
1399
127
60
60
86
17
120
448
480
203
1326
1721
68
98
6
565
360
39
70
30
54
207
84
62
122
24
11
94
1
1898
576
468
1238
207
659
1184
806
7975
214
96
661
1598
43
13
0
87
3266
3443
612
84
1442
2016
674
166
3196
6449
348
3486
313
368
15823
1759
335
11
49
56
807
22814
127
123
22969
2554
518
23
24
28
124
284
51
224
915
2668
273
7714
179
753
29744
151128
190
14
5325
1417
1734
258
31
42
51
52
34
1368
138
40
2152
5969
16029
1334
612
423
2527
1565
1025
32740
972
766
55
62
1464
270
2503
1728
2930
205
2139
5501
1858
11504
511
15633
413
481
1623
224249
9490
1209
11901
793
17641
1248
14342
31303
9695
5497
21358
3065
556
706
73
9530
8854
1929
393
4471
2166
3112
4973
19562
2515
2676
113259
2353
290492
7173
4392
282
37672
6255
4119
3559
6736
5478
72063
318964
94869
11840
29641
470620
12428
7824
3762
12447
2431
582
7540
12685
16770
6774
1920
2479
11728
615
1163
6043
1042
157
1683
3633
3563
18681
4888
18815
120049
291267
4777
16480
8172
6092
4701
2558
661
1952
1697
1362
29306
599
3840
2437
2270
23
7088
112
1
30
43
60
341
468
169
205
66
87
84
1471
141
130
828
43
662
433
636
553
71
3
113
2172
21
97
566
439
462
145
113
800
853
560
656
1542
13
23025
1997
3982
10355
33993
1317
490
7227
101806
3128
318961
4298
113887
7554
222
8704
10668
1113
7878
6159
5852
3908
18654
5204
84
2615
1645
157
311
21
10457
58326
4010
9470
149
648
685
639
192
1996
5009
143
172
7681
3185
6488
1352
2213
99516
103299
255871
26100
176100
241217
4594
1776
560
26630
37629
272113
118649
173
1765
275441
69238
63213
2449510
693
531
13084
8725
6067
2931
4521
49717
3795
34425
1319
36123
28124
397
65
3706
53
64
128
3467
1068
73284
