kir_stycz_other_female_n
148.0
76.0
""
286.0
157.0
24.0
428.0
""
""
102.0
132.0
630.0
""
48.0
128.0
""
""
123.0
""
29.0
172.0
512.0
120.0
52.0
599.0
""
93.0
308.0
975.0
24.0
34.0
74.0
607.0
480.0
34.0
219.0
""
37.0
""
""
131.0
""
""
""
""
""
658.0
140.0
242.0
74.0
193.0
194.0
60.0
""
""
254.0
""
23.0
""
39.0
24.0
293.0
""
34.0
27.0
29.0
""
""
""
""
""
""
27.0
57.0
""
""
37.0
21.0
""
466.0
34.0
63.0
""
49.0
561.0
43.0
52.0
236.0
312.0
102.0
63.0
21.0
21.0
170.0
25.0
""
56.0
135.0
1295.0
235.0
273.0
1884.0
668.0
231.0
356.0
1213.0
245.0
838.0
43.0
144.0
115.0
81.0
327.0
""
351.0
269.0
310.0
""
""
""
63.0
41.0
31.0
68.0
24.0
197.0
152.0
21.0
""
""
1963.0
27.0
69.0
""
77.0
43.0
180.0
204.0
""
32.0
148.0
149.0
""
""
54.0
""
113.0
38.0
""
""
31.0
297.0
56.0
""
604.0
175.0
24.0
119.0
""
33.0
""
""
213.0
1573.0
""
4077.0
76.0
29.0
64.0
146.0
2905.0
318.0
48.0
195.0
49.0
24.0
308.0
750.0
53.0
52.0
25.0
24.0
742.0
49.0
54.0
907.0
""
29.0
220.0
""
30.0
149.0
533.0
""
""
72.0
88.0
116.0
378.0
24.0
329.0
158.0
36.0
86.0
170.0
293.0
791.0
54.0
70.0
111.0
87.0
139.0
""
""
247.0
293.0
264.0
1188.0
61.0
102.0
33.0
50.0
91.0
30.0
1116.0
116.0
66.0
85.0
928.0
284.0
232.0
153.0
""
89.0
""
47.0
""
127.0
""
""
91.0
50.0
83.0
210.0
39.0
52.0
114.0
520.0
39.0
129.0
1029.0
144.0
55.0
""
107.0
53.0
30.0
490.0
35.0
209.0
58.0
276.0
420.0
458.0
454.0
6907.0
418.0
2639.0
2968.0
344.0
284.0
60.0
""
92.0
""
""
298.0
128.0
35.0
70.0
1348.0
""
""
3013.0
458.0
33.0
281.0
1774.0
59.0
23.0
""
""
20.0
28.0
""
""
""
34.0
28.0
92.0
2283.0
""
71.0
100.0
20.0
24.0
""
20.0
71.0
""
53.0
116.0
33.0
56.0
185.0
140.0
28.0
106.0
81.0
77.0
25.0
273.0
50.0
20.0
22.0
78.0
151.0
48.0
50.0
219.0
""
214.0
272.0
863.0
68.0
3705.0
275.0
88.0
43.0
1219.0
""
""
91.0
145.0
70.0
""
29.0
30.0
""
""
50.0
32.0
56.0
""
38.0
63.0
""
55.0
30.0
40.0
60.0
""
150.0
""
""
25.0
""
""
""
""
""
""
36.0
""
""
""
""
""
""
43.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
81.0
""
""
""
""
""
""
71.0
""
""
57.0
70.0
""
""
""
31.0
""
""
""
""
""
""
""
""
""
""
""
""
""
20.0
""
""
""
""
""
""
24.0
233.0
""
""
""
152.0
""
""
""
""
""
71.0
""
""
""
""
""
""
""
84.0
""
188.0
""
""
562.0
""
""
""
""
""
""
798.0
""
""
89.0
""
""
""
""
""
""
""
""
""
""
""
""
29.0
""
""
227.0
1866.0
""
""
""
""
39.0
""
""
""
""
""
""
33.0
""
""
158.0
261.0
452.0
28.0
33.0
21.0
""
183.0
75.0
1217.0
83.0
32.0
""
""
151.0
28.0
207.0
51.0
232.0
29.0
45.0
396.0
376.0
338.0
95.0
1876.0
117.0
""
95.0
337.0
52.0
""
""
""
46.0
""
22.0
105.0
56.0
""
91.0
""
""
""
""
""
""
""
""
""
""
""
""
40.0
""
""
697.0
""
971.0
""
""
""
89.0
""
""
""
""
""
21.0
86.0
183.0
52.0
115.0
2287.0
162.0
40.0
""
67.0
""
""
""
""
""
""
""
""
91.0
""
""
102.0
""
""
""
""
""
87.0
""
497.0
1046.0
1785.0
69.0
135.0
116.0
85.0
321.0
29.0
""
161.0
34.0
87.0
1888.0
129.0
142.0
78.0
97.0
""
899.0
""
""
""
""
""
""
86.0
21.0
36.0
""
""
""
184.0
""
""
89.0
""
""
""
21.0
20.0
""
""
""
88.0
""
""
28.0
40.0
21.0
""
""
97.0
68.0
""
""
45.0
""
8595.0
347.0
1148.0
""
59.0
""
""
""
524.0
""
2401.0
""
670.0
78.0
""
78.0
143.0
""
84.0
1234.0
46.0
""
361.0
37.0
""
70.0
""
""
""
""
300.0
1426.0
94.0
113.0
""
""
""
""
""
30.0
125.0
""
""
222.0
113.0
210.0
37.0
135.0
818.0
567.0
1072.0
439.0
4030.0
2643.0
25.0
""
""
463.0
575.0
7373.0
2162.0
""
""
3543.0
104.0
488.0
15223.0
44.0
31.0
46.0
57.0
524.0
47.0
203.0
2346.0
41.0
853.0
63.0
188.0
260.0
26.0
""
113.0
""
""
""
139.0
90.0
7128.0
