kid_asian_female_n
247
108
27
781
490
49
2091
33
12
613
410
3862
29
844
1367
24
15
275
22
25
368
788
190
93
4066
19
137
528
3541
41
51
182
2338
1125
55
1134
31
86
12
11
435
46
23
5
21
39
3697
414
1138
153
245
796
124
6
12
346
48
2
4
87
24
672
11
38
40
50
9
63
23
37
37
82
72
102
21
14
83
29
12
2033
67
177
23
51
2604
88
46
328
744
89
74
36
51
584
36
11
141
332
5339
715
724
7707
2433
563
786
5258
562
2993
73
316
615
165
849
24
728
915
724
9
13
23
218
51
53
128
53
648
437
29
77
53
16489
97
515
46
460
33
268
321
29
218
525
319
7
35
90
12
153
55
42
103
37
945
158
13
1231
892
24
305
12
93
8
16
396
8125
29
37007
76
55
37
193
16177
1403
125
606
75
31
731
3062
117
45
30
52
1484
63
53
2997
12
60
753
2
47
211
1409
23
53
85
225
130
923
53
775
357
88
155
188
724
2403
257
161
553
290
298
30
25
652
423
264
4481
101
48
53
100
75
88
4276
212
453
181
2841
349
382
670
20
239
11
85
14
267
6
60
148
145
85
321
74
104
410
1819
95
577
4564
654
126
17
234
72
84
2143
128
836
133
1413
1754
1776
1931
99396
4222
51507
23638
1572
602
143
21
206
10
51
943
526
55
289
4410
5
16
26519
2044
82
1367
10646
218
30
64
14
26
49
22
67
24
188
226
408
23440
39
74
994
126
80
48
116
200
16
524
411
181
1403
1928
1183
51
2330
1120
913
69
2062
94
55
43
338
845
134
97
609
49
567
678
5486
106
43593
1049
155
54
4171
14
37
292
216
52
21
29
27
16
43
68
66
65
18
77
201
14
78
30
41
62
48
319
3
3
16
24
3
3
1
21
22
50
3
6
0
7
1
1
54
4
0
2
1
0
1
13
3
8
2
10
7
7
50
15
301
10
13
4
0
2
21
71
8
27
65
276
9
12
1
91
39
8
2
0
0
28
13
3
4
6
0
16
0
55
127
54
240
51
26
158
99
1915
21
21
40
117
1
0
0
3
34
84
6
1
27
43
82
10
99
532
12
1028
43
28
1326
10
3
0
7
7
18
1368
3
0
113
11
7
1
0
8
1
5
3
8
41
32
11
99
10
49
604
9269
11
0
107
16
40
18
3
0
3
2
6
116
2
4
251
393
2161
51
88
15
95
110
88
3763
63
31
16
5
522
19
386
53
136
24
71
760
94
458
112
1403
7
16
89
708
76
0
17
1
56
6
29
335
103
4
504
23
7
0
1
15
170
6
0
94
10
21
23
199
9
7
4358
16
2402
23
36
0
259
13
16
0
11
6
106
724
629
489
873
27464
1334
138
52
99
3
6
16
16
22
22
7
4
185
1
5
267
9
2
5
12
12
202
26
730
7040
17989
67
243
163
93
220
46
1
64
31
25
3066
28
114
113
15
2
2165
45
0
8
9
4
333
195
57
89
12
61
58
200
6
6
81
4
23
12
7
11
5
0
7
120
1
2
99
45
33
14
7
69
154
15
15
34
1
33083
1815
3834
13
240
11
2
22
1327
26
7619
19
1762
137
7
47
174
12
77
2932
110
18
829
51
4
67
26
2
18
0
440
3598
242
193
3
9
26
9
1
29
188
1
9
615
333
244
159
141
6236
2807
15051
3813
32554
52764
46
18
13
1682
1781
87238
7230
4
31
27174
468
1979
181347
47
183
83
96
944
59
421
10930
77
1884
70
287
648
32
1
132
1
3
23
502
130
32606
