kir_native_asian_female_n
""
""
""
33.0
""
""
33.0
""
""
""
""
50.0
""
""
26.0
""
""
""
""
""
""
32.0
""
""
61.0
""
""
""
61.0
""
""
""
45.0
31.0
""
""
""
""
""
""
""
""
""
""
""
""
43.0
""
35.0
""
""
22.0
""
""
""
""
""
""
""
""
""
28.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
32.0
""
""
""
""
49.0
""
""
""
30.0
""
""
""
""
""
""
""
""
""
98.0
""
40.0
89.0
39.0
20.0
30.0
77.0
31.0
61.0
""
""
""
""
23.0
""
26.0
30.0
35.0
""
""
""
""
""
""
""
""
""
""
""
""
""
125.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
29.0
""
""
39.0
""
""
""
""
""
""
""
""
165.0
""
339.0
""
""
""
""
299.0
44.0
""
34.0
""
""
28.0
96.0
""
""
""
""
40.0
""
""
61.0
""
""
""
""
""
""
35.0
""
""
""
""
""
33.0
""
37.0
""
""
""
""
20.0
61.0
""
""
""
""
""
""
""
21.0
29.0
22.0
109.0
""
""
""
""
""
""
75.0
20.0
21.0
""
93.0
23.0
36.0
""
""
""
""
""
""
""
""
""
""
""
""
23.0
""
""
""
79.0
""
""
159.0
26.0
""
""
""
""
""
88.0
""
39.0
""
53.0
75.0
72.0
49.0
507.0
82.0
340.0
346.0
38.0
28.0
""
""
""
""
""
36.0
""
""
""
67.0
""
""
301.0
67.0
""
35.0
178.0
""
""
""
""
""
""
""
""
""
27.0
21.0
37.0
521.0
""
""
38.0
""
""
""
""
""
""
25.0
""
""
24.0
41.0
23.0
""
59.0
43.0
29.0
""
56.0
""
""
""
""
""
""
""
29.0
""
23.0
46.0
139.0
""
333.0
32.0
""
""
123.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
29.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
24.0
""
""
""
""
""
""
""
23.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
55.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
57.0
""
""
""
""
""
""
45.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
49.0
174.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
20.0
40.0
""
""
""
""
""
""
100.0
""
""
""
""
""
""
""
""
""
""
""
23.0
""
""
""
49.0
""
""
""
22.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
51.0
""
71.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
170.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
93.0
152.0
""
""
""
""
""
""
""
""
""
""
51.0
""
""
""
""
""
41.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
1115.0
57.0
105.0
""
""
""
""
""
37.0
""
164.0
""
44.0
""
""
""
""
""
""
144.0
""
""
41.0
""
""
""
""
""
""
""
26.0
104.0
""
""
""
""
""
""
""
""
""
""
""
23.0
20.0
""
""
""
48.0
51.0
123.0
31.0
331.0
312.0
""
""
""
31.0
48.0
718.0
117.0
""
""
227.0
""
52.0
1263.0
""
""
""
""
48.0
""
""
193.0
""
85.0
""
""
37.0
""
""
""
""
""
""
""
""
437.0
