has_mom_black_male_n
501.0
724.0
546.0
148.0
23.0
352.0
517.0
1319.0
779.0
55.0
181.0
273.0
574.0
62.0
37.0
465.0
437.0
299.0
135.0
226.0
127.0
47.0
620.0
1414.0
40.0
603.0
486.0
755.0
113.0
46.0
129.0
410.0
434.0
314.0
1259.0
77.0
12370.0
60.0
422.0
240.0
1141.0
401.0
476.0
783.0
2900.0
504.0
35.0
66.0
6626.0
321.0
5587.0
705.0
351.0
407.0
512.0
207.0
1047.0
172.0
533.0
425.0
1211.0
480.0
2457.0
179.0
197.0
365.0
""
""
""
952.0
""
""
""
""
369.0
""
""
""
""
""
""
""
""
25.0
""
""
""
""
""
""
""
""
""
""
""
""
""
400.0
72.0
""
""
""
""
5646.0
104.0
34.0
1246.0
198.0
""
51.0
176.0
320.0
241.0
""
62.0
""
175.0
41.0
""
424.0
247.0
""
""
37.0
344.0
145.0
303.0
57.0
1311.0
240.0
135.0
409.0
253.0
347.0
""
""
352.0
21.0
""
295.0
194.0
167.0
57.0
""
125.0
2200.0
""
92.0
""
287.0
134.0
116.0
""
254.0
""
""
605.0
1028.0
191.0
""
138.0
""
565.0
""
687.0
""
82.0
""
92.0
40.0
6387.0
""
665.0
130.0
""
""
423.0
36.0
""
""
765.0
""
128.0
103.0
119.0
""
8789.0
""
""
126.0
""
""
4468.0
""
70.0
1737.0
""
45.0
117.0
""
1638.0
296.0
22.0
""
34863.0
165.0
247.0
""
40.0
480.0
""
""
615.0
88.0
""
2576.0
153.0
""
5254.0
5432.0
33.0
8324.0
6769.0
2307.0
1976.0
142.0
1483.0
460.0
2444.0
123.0
55.0
""
24.0
3237.0
285.0
649.0
114.0
25.0
""
280.0
20.0
849.0
194.0
142.0
877.0
""
2505.0
""
""
""
150.0
45.0
""
""
""
""
""
""
""
""
3219.0
""
141.0
""
""
2214.0
""
""
""
""
""
""
""
""
366.0
""
""
""
""
103.0
""
""
""
42.0
""
""
""
""
""
""
""
""
""
""
""
111.0
""
""
""
""
""
""
""
""
""
""
72.0
""
4008.0
4196.0
117.0
334.0
3620.0
604.0
138.0
95.0
1431.0
4962.0
1118.0
15328.0
1902.0
102.0
928.0
156.0
2181.0
17917.0
57.0
410.0
152.0
817.0
618.0
432.0
162.0
22.0
10688.0
3254.0
222.0
39.0
1280.0
""
23.0
81.0
132.0
45.0
194.0
345.0
428.0
7491.0
20.0
507.0
499.0
259.0
""
1115.0
1584.0
2837.0
159.0
34.0
272.0
1258.0
1334.0
323.0
23195.0
216.0
241.0
997.0
123.0
8879.0
1014.0
8562.0
553.0
4016.0
3637.0
534.0
458.0
2036.0
336.0
866.0
2204.0
203.0
182.0
164.0
82.0
2059.0
121.0
113.0
117.0
166.0
37.0
81.0
49.0
798.0
24.0
260.0
375.0
319.0
89.0
3372.0
110.0
""
351.0
178.0
637.0
560.0
278.0
46.0
393.0
131.0
720.0
56.0
88.0
4689.0
531.0
102.0
287.0
1444.0
72.0
7919.0
85.0
5520.0
375.0
481.0
782.0
206.0
962.0
120.0
478.0
""
""
439.0
20385.0
194.0
221.0
2932.0
1359.0
245.0
""
225.0
314.0
315.0
126.0
""
845.0
513.0
60.0
59.0
17376.0
""
""
966.0
91.0
288.0
317.0
4883.0
32.0
562.0
