kfr_imm_black_male_n
""
""
""
""
""
""
55.0
""
""
""
""
90.0
""
""
""
""
""
""
""
""
""
50.0
""
""
103.0
""
""
46.0
117.0
""
""
""
107.0
63.0
""
""
""
""
""
""
24.0
""
""
""
""
""
62.0
""
35.0
""
""
""
""
""
""
""
""
""
""
""
""
22.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
36.0
""
""
""
""
58.0
""
""
30.0
27.0
""
""
""
""
""
""
""
""
""
250.0
65.0
74.0
2616.0
587.0
98.0
81.0
498.0
40.0
103.0
""
22.0
33.0
""
57.0
""
33.0
27.0
49.0
""
""
""
""
""
""
""
""
23.0
29.0
""
""
""
696.0
""
""
""
""
""
""
37.0
""
""
39.0
""
""
""
""
""
""
""
""
""
""
""
""
""
62.0
""
""
""
""
""
""
""
""
313.0
""
1424.0
""
""
""
""
216.0
""
""
""
""
""
""
""
""
""
""
""
37.0
""
""
38.0
""
""
""
""
""
""
36.0
""
""
""
""
""
23.0
""
36.0
""
""
""
""
""
40.0
""
""
""
""
""
""
""
33.0
""
""
93.0
""
""
""
""
""
""
100.0
""
""
""
44.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
42.0
""
""
132.0
""
""
""
""
""
""
42.0
""
43.0
""
23.0
35.0
43.0
106.0
7210.0
101.0
1454.0
622.0
59.0
41.0
""
""
""
""
""
""
""
""
""
123.0
""
""
891.0
24.0
""
58.0
596.0
""
""
""
""
""
""
""
""
""
""
""
""
208.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
47.0
""
457.0
""
""
""
88.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
28.0
""
""
""
""
""
""
49.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
93.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
85.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
36.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
58.0
""
95.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
424.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
64.0
98.0
268.0
""
""
""
""
""
""
""
""
""
""
43.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
33.0
""
""
""
""
""
""
""
""
""
81.0
""
31.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
20.0
""
40.0
""
105.0
100.0
""
""
""
""
""
235.0
54.0
""
""
135.0
""
""
816.0
""
""
""
""
""
""
""
60.0
""
""
""
""
""
""
""
""
""
""
""
""
""
169.0
