kir_26_black_male_n
428.0
635.0
483.0
122.0
21.0
302.0
458.0
1152.0
663.0
47.0
152.0
239.0
510.0
52.0
27.0
405.0
383.0
253.0
124.0
200.0
113.0
39.0
552.0
1244.0
37.0
525.0
421.0
651.0
95.0
41.0
117.0
359.0
381.0
266.0
1081.0
65.0
10675.0
53.0
373.0
208.0
987.0
353.0
422.0
673.0
2519.0
433.0
31.0
59.0
5734.0
278.0
4866.0
600.0
302.0
352.0
446.0
173.0
905.0
148.0
479.0
361.0
1041.0
416.0
2108.0
156.0
176.0
324.0
""
""
""
831.0
""
""
""
""
326.0
""
""
""
""
""
""
""
""
23.0
""
""
""
""
""
""
""
""
""
""
""
""
""
356.0
62.0
""
""
""
""
4966.0
94.0
29.0
1100.0
176.0
""
41.0
156.0
279.0
211.0
""
57.0
""
150.0
35.0
""
376.0
214.0
""
""
34.0
298.0
126.0
270.0
50.0
1149.0
211.0
125.0
355.0
217.0
304.0
""
""
304.0
""
""
248.0
165.0
145.0
47.0
""
107.0
1916.0
""
84.0
""
248.0
117.0
97.0
""
226.0
""
""
531.0
900.0
171.0
""
117.0
""
494.0
""
612.0
""
72.0
""
80.0
31.0
5513.0
""
574.0
121.0
""
""
369.0
32.0
""
""
674.0
""
116.0
87.0
100.0
""
7675.0
""
""
116.0
""
""
3915.0
""
59.0
1532.0
""
41.0
99.0
""
1439.0
264.0
""
""
30255.0
134.0
211.0
""
40.0
421.0
""
""
546.0
80.0
""
2284.0
134.0
""
4707.0
4774.0
28.0
7321.0
5990.0
1974.0
1766.0
124.0
1292.0
406.0
2135.0
109.0
49.0
""
21.0
2831.0
244.0
581.0
100.0
20.0
""
246.0
""
716.0
177.0
127.0
782.0
""
2236.0
""
""
""
136.0
38.0
""
""
""
""
""
""
""
""
2825.0
""
128.0
""
""
1949.0
""
""
""
""
""
""
""
""
323.0
""
""
""
""
90.0
""
""
""
37.0
""
""
""
""
""
""
""
""
""
""
""
96.0
""
""
""
""
""
""
""
""
""
""
66.0
""
3522.0
3634.0
102.0
284.0
3158.0
539.0
120.0
82.0
1267.0
4330.0
971.0
13256.0
1673.0
90.0
812.0
132.0
1924.0
15745.0
49.0
362.0
137.0
745.0
558.0
394.0
140.0
21.0
9431.0
2849.0
202.0
32.0
1121.0
""
20.0
71.0
120.0
39.0
168.0
302.0
381.0
6511.0
""
432.0
438.0
214.0
""
995.0
1395.0
2455.0
148.0
31.0
241.0
1106.0
1182.0
289.0
20175.0
184.0
210.0
894.0
106.0
7842.0
928.0
7568.0
513.0
3497.0
3170.0
471.0
403.0
1767.0
296.0
763.0
1952.0
183.0
170.0
143.0
71.0
1822.0
107.0
95.0
103.0
149.0
33.0
71.0
41.0
694.0
""
237.0
333.0
285.0
