comcoll_pooled_pooled_n
640.0
1311.0
312.0
150.0
559.0
84.0
275.0
1319.0
426.0
191.0
357.0
124.0
263.0
137.0
133.0
689.0
546.0
115.0
83.0
428.0
138.0
782.0
772.0
462.0
609.0
742.0
351.0
1039.0
173.0
268.0
296.0
99.0
156.0
264.0
1801.0
586.0
6601.0
125.0
836.0
385.0
974.0
660.0
158.0
219.0
2792.0
207.0
227.0
988.0
3958.0
187.0
2602.0
1283.0
104.0
206.0
348.0
222.0
530.0
588.0
1687.0
103.0
812.0
453.0
1505.0
624.0
142.0
103.0
240.0
34.0
26.0
3255.0
261.0
""
""
62.0
1095.0
""
24.0
403.0
421.0
158.0
160.0
192.0
24.0
574.0
173.0
118.0
128.0
24.0
60.0
134.0
""
44.0
55.0
""
""
98.0
356.0
1247.0
1232.0
419.0
329.0
109.0
122.0
28126.0
1465.0
793.0
7875.0
1355.0
363.0
1461.0
1394.0
274.0
244.0
375.0
1776.0
431.0
147.0
51.0
278.0
161.0
249.0
214.0
291.0
103.0
261.0
263.0
899.0
654.0
602.0
209.0
96.0
188.0
189.0
974.0
196.0
129.0
822.0
181.0
440.0
254.0
407.0
148.0
509.0
92.0
177.0
925.0
257.0
73.0
239.0
113.0
112.0
142.0
282.0
692.0
163.0
132.0
475.0
608.0
128.0
82.0
110.0
104.0
311.0
116.0
256.0
111.0
262.0
240.0
607.0
76.0
3888.0
232.0
262.0
1035.0
116.0
87.0
1400.0
146.0
185.0
118.0
549.0
207.0
1630.0
782.0
93.0
184.0
12428.0
""
313.0
1995.0
296.0
157.0
9243.0
297.0
1652.0
7805.0
319.0
1149.0
1553.0
210.0
7094.0
1419.0
367.0
313.0
77622.0
1226.0
1848.0
155.0
792.0
2382.0
82.0
46.0
3759.0
1337.0
946.0
24368.0
2955.0
136.0
15695.0
12029.0
658.0
17918.0
23755.0
4897.0
6133.0
2195.0
6357.0
3521.0
14894.0
2289.0
1808.0
""
531.0
4896.0
4189.0
5013.0
1050.0
677.0
53.0
3889.0
496.0
8122.0
1625.0
760.0
4599.0
198.0
7069.0
71.0
78.0
93.0
2681.0
762.0
153.0
""
63.0
85.0
""
52.0
37.0
328.0
5095.0
""
2410.0
105.0
309.0
7059.0
568.0
510.0
52.0
27.0
108.0
""
72.0
""
7183.0
31.0
124.0
65.0
534.0
2992.0
211.0
64.0
324.0
1503.0
""
225.0
252.0
435.0
442.0
299.0
37.0
211.0
75.0
72.0
180.0
1655.0
109.0
158.0
86.0
47.0
""
""
53.0
47.0
298.0
121.0
2318.0
182.0
7280.0
7750.0
1912.0
1531.0
6982.0
2692.0
1499.0
1134.0
1536.0
5400.0
1663.0
4178.0
1710.0
209.0
1832.0
216.0
4555.0
12942.0
115.0
1284.0
971.0
1847.0
1769.0
437.0
199.0
77.0
7433.0
2958.0
499.0
71.0
395.0
137.0
67.0
106.0
104.0
160.0
279.0
1318.0
672.0
9445.0
161.0
1004.0
462.0
122.0
61.0
1865.0
3867.0
2013.0
315.0
50.0
136.0
2385.0
2142.0
1102.0
16608.0
696.0
554.0
2157.0
376.0
8445.0
2011.0
8807.0
3167.0
7364.0
4703.0
514.0
1248.0
1874.0
1398.0
2784.0
4360.0
307.0
309.0
131.0
92.0
3865.0
199.0
378.0
190.0
155.0
54.0
99.0
22.0
342.0
157.0
487.0
771.0
172.0
124.0
1500.0
101.0
63.0
152.0
268.0
403.0
