kid_natam_male_n
24.0
95.0
13.0
2.0
39.0
3.0
3.0
44.0
4.0
10.0
16.0
3.0
13.0
6.0
5.0
65.0
33.0
2.0
1.0
19.0
15.0
38.0
38.0
4.0
85.0
27.0
189.0
34.0
2.0
15.0
34.0
0.0
8.0
5.0
34.0
148.0
128.0
0.0
21.0
341.0
20.0
32.0
1.0
3.0
297.0
4.0
12.0
57.0
436.0
31.0
63.0
100.0
0.0
2.0
31.0
8.0
18.0
31.0
57.0
2.0
15.0
11.0
28.0
32.0
224.0
0.0
18.0
182.0
190.0
3087.0
2911.0
118.0
17.0
748.0
980.0
36.0
196.0
548.0
655.0
396.0
411.0
""
261.0
638.0
1449.0
1107.0
1358.0
126.0
402.0
216.0
1.0
127.0
252.0
70.0
""
917.0
11118.0
123.0
6917.0
1303.0
1071.0
24.0
370.0
7766.0
569.0
9508.0
3915.0
2336.0
12.0
392.0
256.0
2.0
1.0
26.0
417.0
31.0
4.0
1.0
34.0
2.0
16.0
15.0
10.0
2.0
8.0
9.0
29.0
206.0
18.0
6.0
1.0
7.0
8.0
59.0
25.0
6.0
64.0
9.0
13.0
8.0
19.0
9.0
15.0
15.0
4.0
22.0
17.0
9.0
11.0
1.0
6.0
29.0
17.0
34.0
31.0
23.0
38.0
15.0
2.0
23.0
6.0
6.0
12.0
10.0
6.0
7.0
3.0
52.0
40.0
4.0
152.0
12.0
5.0
49.0
24.0
10.0
291.0
54.0
16.0
11.0
15.0
21.0
273.0
37.0
3.0
18.0
626.0
22.0
72.0
606.0
101.0
51.0
464.0
303.0
173.0
978.0
72.0
1207.0
310.0
269.0
856.0
221.0
238.0
143.0
3266.0
218.0
50.0
89.0
616.0
161.0
70.0
47.0
202.0
83.0
101.0
1061.0
219.0
62.0
1503.0
1215.0
31.0
1386.0
2041.0
108.0
461.0
163.0
145.0
299.0
632.0
134.0
749.0
7.0
286.0
263.0
468.0
476.0
143.0
153.0
107.0
475.0
126.0
464.0
130.0
228.0
335.0
35.0
306.0
19.0
7.0
3.0
128.0
32.0
17.0
2.0
4.0
13.0
7.0
12.0
4.0
14.0
535.0
7.0
87.0
26.0
9.0
474.0
38.0
30.0
5.0
3.0
4.0
3.0
8.0
1.0
333.0
2.0
4.0
3.0
340.0
169.0
38.0
7.0
11.0
98.0
0.0
16.0
498.0
28.0
26.0
26.0
5.0
12.0
0.0
2.0
5.0
134.0
9.0
8.0
6.0
10.0
0.0
4.0
1.0
10.0
21.0
0.0
98.0
8.0
165.0
171.0
21.0
20.0
175.0
415.0
21.0
59.0
87.0
86.0
87.0
116.0
38.0
4.0
142.0
7.0
187.0
454.0
17.0
28.0
52.0
86.0
67.0
41.0
9.0
3.0
277.0
303.0
11.0
0.0
11.0
8.0
87.0
4.0
4.0
10.0
31.0
43.0
38.0
400.0
25.0
30.0
35.0
3.0
12.0
67.0
112.0
80.0
21.0
16.0
6.0
68.0
130.0
21.0
347.0
12.0
21.0
117.0
20.0
280.0
57.0
223.0
112.0
222.0
199.0
37.0
26.0
55.0
150.0
56.0
100.0
18.0
12.0
21.0
2.0
130.0
18.0
50.0
35.0
2.0
4.0
3.0
1.0
14.0
4.0
14.0
20.0
2.0
8.0
32.0
1.0
1.0
5.0
6.0
8.0
3.0
8.0
0.0
31.0
1.0
21.0
22.0
3.0
57.0
18.0
1.0
52.0
15.0
0.0
85.0
7.0
137.0
17.0
9.0
29.0
1.0
20.0
6.0
2.0
14.0
6.0
2.0
122.0
6.0
5.0
18.0
32.0
2.0
7.0
16.0
7.0
3.0
1.0
17.0
27.0
30.0
25.0
4.0
126.0
13.0
0.0
20.0
16.0
23.0
1.0
138.0
15.0
45.0
3.0
8.0
10.0
3.0
7.0
29.0
49.0
2.0
6.0
3.0
1.0
5.0
0.0
1.0
4.0
3.0
1.0
13.0
8.0
42.0
5.0
15.0
43.0
22.0
0.0
5.0
4.0
1.0
1.0
8.0
0.0
2.0
7.0
0.0
1.0
19.0
104.0
20.0
4.0
1.0
35.0
13.0
11.0
4.0
7.0
10.0
1.0
2.0
0.0
4.0
3.0
57.0
20.0
1.0
1.0
0.0
15.0
9.0
2.0
14.0
1.0
0.0
1.0
0.0
1.0
4.0
8.0
8.0
10.0
2.0
0.0
11.0
1.0
2.0
7.0
8.0
19.0
22.0
10.0
1.0
6.0
14.0
0.0
0.0
13.0
21.0
1.0
1.0
4.0
14.0
55.0
162.0
11.0
36.0
234.0
9.0
333.0
5.0
156.0
472.0
4.0
7.0
32.0
78.0
28.0
2.0
0.0
118.0
2.0
21.0
1.0
25.0
2.0
33.0
4.0
8.0
17.0
11.0
76.0
20.0
21.0
229.0
36.0
5.0
16.0
4.0
11.0
27.0
347.0
0.0
49.0
16.0
35.0
30.0
1.0
60.0
4.0
3.0
9.0
2.0
4.0
13.0
1.0
6.0
1.0
6.0
2.0
41.0
7.0
5.0
5.0
8.0
11.0
893.0
10.0
4.0
14.0
3.0
5.0
126.0
3.0
0.0
9.0
0.0
3.0
8.0
6.0
6.0
5.0
16.0
2.0
10.0
0.0
1.0
5.0
8.0
22.0
0.0
13.0
6.0
1.0
8.0
72.0
21.0
16.0
8.0
128.0
23.0
3.0
1.0
10.0
4.0
6.0
40.0
29.0
16.0
10.0
81.0
9.0
7.0
4.0
4.0
4.0
4.0
7.0
4.0
7.0
0.0
10.0
49.0
7.0
2.0
7.0
6.0
0.0
4.0
6.0
1.0
33.0
83.0
8.0
49.0
1.0
0.0
8.0
0.0
10.0
25.0
7.0
25.0
1.0
5.0
5.0
4.0
3.0
9.0
102.0
14.0
78.0
9.0
7.0
154.0
10.0
0.0
4.0
13.0
5.0
5.0
15.0
34.0
9.0
8.0
4.0
7.0
12.0
0.0
8.0
49.0
6.0
39.0
2.0
8.0
5.0
3.0
8.0
10.0
32.0
12.0
32.0
13.0
12.0
32.0
8.0
45.0
26.0
21.0
