jail_hisp_female_n
53.0
123.0
""
""
86.0
""
""
141.0
""
""
38.0
""
""
""
""
106.0
33.0
""
""
""
""
53.0
128.0
""
78.0
45.0
""
67.0
""
46.0
23.0
""
""
""
69.0
27.0
369.0
""
55.0
""
73.0
63.0
""
""
333.0
""
""
127.0
273.0
""
202.0
154.0
""
""
""
""
66.0
35.0
114.0
""
49.0
""
83.0
23.0
""
""
""
""
""
860.0
""
""
""
""
230.0
""
""
63.0
41.0
""
30.0
""
""
69.0
""
""
""
""
""
""
""
""
""
""
""
""
85.0
1475.0
600.0
279.0
337.0
106.0
108.0
24808.0
848.0
316.0
10116.0
1720.0
1443.0
636.0
3230.0
""
31.0
22.0
630.0
26.0
""
""
78.0
""
29.0
""
""
""
""
24.0
84.0
109.0
44.0
""
""
""
""
87.0
21.0
""
136.0
""
36.0
47.0
35.0
28.0
39.0
""
""
62.0
89.0
""
""
""
""
""
""
54.0
""
""
33.0
45.0
""
""
""
""
23.0
""
""
""
""
37.0
84.0
""
449.0
""
20.0
98.0
""
""
316.0
91.0
""
""
44.0
""
488.0
60.0
""
71.0
10483.0
""
123.0
1036.0
118.0
243.0
7153.0
136.0
638.0
14296.0
288.0
342.0
5312.0
85.0
11085.0
2291.0
193.0
120.0
145932.0
2545.0
756.0
64.0
506.0
4171.0
36.0
""
7570.0
1203.0
265.0
28033.0
1375.0
46.0
25461.0
8539.0
1399.0
30600.0
28146.0
4232.0
7789.0
1641.0
6568.0
5140.0
15599.0
3302.0
573.0
""
153.0
3497.0
2849.0
6954.0
980.0
395.0
""
7946.0
194.0
10889.0
1882.0
622.0
4821.0
289.0
3088.0
30.0
""
83.0
1249.0
276.0
48.0
""
""
111.0
30.0
42.0
""
185.0
7230.0
""
611.0
70.0
65.0
3054.0
192.0
214.0
""
""
23.0
""
103.0
""
3354.0
""
44.0
79.0
207.0
1061.0
260.0
""
118.0
611.0
""
68.0
108.0
205.0
389.0
348.0
""
47.0
23.0
""
181.0
2440.0
30.0
255.0
""
47.0
""
""
""
""
61.0
""
2147.0
39.0
3683.0
3712.0
257.0
268.0
2842.0
660.0
203.0
301.0
255.0
1164.0
219.0
1690.0
466.0
""
298.0
23.0
