proginc_hisp_male_n
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
20.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
48.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
117.0
31.0
22.0
29.0
""
""
1509.0
60.0
""
662.0
113.0
104.0
47.0
195.0
""
""
""
42.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
43.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
679.0
""
""
75.0
""
""
413.0
""
40.0
958.0
""
""
339.0
""
751.0
154.0
""
""
10404.0
149.0
53.0
""
33.0
261.0
""
""
499.0
97.0
""
1928.0
81.0
""
1570.0
558.0
89.0
1906.0
1877.0
283.0
528.0
112.0
408.0
317.0
1038.0
217.0
36.0
""
""
220.0
170.0
410.0
67.0
32.0
""
515.0
""
722.0
107.0
23.0
326.0
""
184.0
""
""
""
83.0
22.0
""
""
""
""
""
""
""
""
451.0
""
46.0
""
""
216.0
""
""
""
""
""
""
""
""
224.0
""
""
""
""
79.0
23.0
""
""
34.0
""
""
""
22.0
30.0
23.0
""
""
""
""
""
199.0
""
""
""
""
""
""
""
""
""
""
162.0
""
198.0
194.0
""
""
162.0
30.0
""
21.0
24.0
93.0
""
92.0
""
""
""
""
90.0
693.0
""
""
""
""
80.0
""
""
""
86.0
21.0
""
""
""
""
""
""
""
""
28.0
36.0
25.0
442.0
""
""
""
""
""
41.0
99.0
26.0
""
""
""
47.0
46.0
27.0
2478.0
25.0
""
39.0
21.0
467.0
154.0
332.0
66.0
127.0
130.0
""
""
60.0
""
39.0
140.0
""
""
""
""
80.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
25.0
""
""
""
""
""
29.0
""
74.0
""
""
""
""
""
""
""
""
""
""
86.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
70.0
""
""
""
""
""
""
90.0
""
29.0
""
""
""
""
""
""
27.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
32.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
26.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
48.0
""
""
""
""
35.0
221.0
""
37.0
48.0
""
""
""
""
21.0
""
""
""
25.0
""
""
""
61.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
23.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
2453.0
""
""
""
""
""
223.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
239.0
""
25.0
""
234.0
33.0
""
""
""
""
""
50.0
""
""
""
""
""
""
""
""
""
""
""
""
