proginc_other_pooled_n
29.0
""
""
50.0
30.0
""
75.0
""
""
""
21.0
110.0
""
""
""
""
""
23.0
""
""
33.0
130.0
28.0
""
119.0
""
30.0
67.0
230.0
""
""
""
112.0
113.0
""
57.0
""
""
""
""
28.0
""
""
""
""
""
152.0
22.0
46.0
""
38.0
32.0
""
""
""
51.0
""
""
""
""
""
65.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
84.0
""
""
""
""
109.0
""
""
53.0
63.0
30.0
""
""
""
36.0
""
""
""
28.0
258.0
34.0
70.0
293.0
128.0
37.0
69.0
184.0
37.0
136.0
""
26.0
24.0
21.0
59.0
""
67.0
48.0
60.0
""
""
""
22.0
""
""
31.0
""
39.0
31.0
""
""
""
326.0
""
""
""
22.0
""
38.0
50.0
""
""
28.0
37.0
""
""
""
""
37.0
""
""
""
""
69.0
""
""
132.0
39.0
""
29.0
""
""
""
""
31.0
307.0
""
826.0
29.0
""
21.0
38.0
591.0
72.0
24.0
73.0
""
""
78.0
165.0
""
21.0
""
""
143.0
""
""
142.0
""
""
50.0
""
""
50.0
100.0
""
""
""
""
25.0
93.0
""
86.0
42.0
""
""
23.0
67.0
138.0
""
""
23.0
22.0
40.0
""
""
68.0
57.0
75.0
266.0
""
""
""
""
22.0
""
164.0
27.0
24.0
35.0
222.0
71.0
63.0
33.0
""
""
""
""
""
26.0
""
""
26.0
""
""
44.0
""
""
27.0
99.0
""
34.0
193.0
41.0
23.0
""
28.0
""
""
86.0
""
46.0
""
56.0
108.0
112.0
95.0
1237.0
116.0
520.0
528.0
53.0
59.0
""
""
31.0
""
""
79.0
23.0
""
27.0
189.0
""
""
483.0
108.0
""
61.0
326.0
""
""
""
""
""
""
""
""
""
""
""
32.0
433.0
""
38.0
26.0
""
""
""
""
24.0
""
""
""
""
24.0
55.0
33.0
21.0
39.0
27.0
21.0
""
76.0
""
""
""
23.0
40.0
""
22.0
47.0
""
57.0
53.0
160.0
""
744.0
67.0
23.0
""
225.0
""
""
28.0
41.0
""
""
""
""
""
""
21.0
""
""
""
""
20.0
""
""
""
""
""
""
41.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
24.0
""
""
""
""
""
""
47.0
""
""
""
27.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
66.0
""
""
""
37.0
""
""
""
""
""
20.0
""
""
""
""
""
""
""
""
""
32.0
""
""
113.0
""
""
""
""
""
""
195.0
""
""
24.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
56.0
351.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
44.0
70.0
82.0
""
""
""
""
58.0
22.0
232.0
24.0
""
""
""
41.0
""
50.0
""
75.0
""
""
138.0
121.0
80.0
31.0
465.0
52.0
""
30.0
96.0
""
""
""
""
""
""
""
30.0
""
""
24.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
136.0
""
173.0
""
""
""
23.0
""
""
""
""
""
""
20.0
38.0
""
20.0
372.0
32.0
""
""
""
""
""
""
""
""
""
""
""
24.0
""
""
24.0
""
""
""
""
""
26.0
""
114.0
203.0
310.0
""
25.0
20.0
21.0
79.0
""
""
52.0
""
37.0
377.0
56.0
27.0
""
33.0
""
187.0
""
""
""
""
""
""
""
20.0
""
""
""
""
45.0
""
""
31.0
""
""
""
""
""
""
""
""
26.0
""
""
""
""
""
""
""
36.0
""
""
""
""
""
2019.0
94.0
273.0
""
29.0
""
""
""
133.0
""
458.0
""
135.0
33.0
""
20.0
39.0
""
26.0
322.0
""
""
75.0
""
""
""
""
""
""
""
79.0
244.0
""
38.0
""
""
""
""
""
""
38.0
""
""
52.0
39.0
47.0
""
37.0
163.0
121.0
205.0
113.0
742.0
582.0
""
""
""
91.0
121.0
1326.0
385.0
""
""
699.0
""
116.0
2745.0
""
""
""
""
108.0
""
54.0
422.0
""
189.0
""
43.0
57.0
""
""
25.0
""
""
""
35.0
23.0
1160.0
