pos_hours_hisp_female_n
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
21.0
""
""
""
""
""
""
""
30.0
""
""
""
21.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
53.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
100.0
41.0
25.0
20.0
""
""
1724.0
63.0
21.0
741.0
105.0
104.0
42.0
209.0
""
""
""
46.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
20.0
""
""
""
""
""
""
""
""
""
""
""
35.0
""
""
""
687.0
""
""
80.0
""
21.0
433.0
""
29.0
956.0
""
24.0
385.0
""
680.0
156.0
""
""
10821.0
179.0
43.0
""
32.0
290.0
""
""
509.0
87.0
""
2003.0
87.0
""
1770.0
564.0
102.0
1997.0
1965.0
255.0
523.0
102.0
416.0
304.0
1021.0
191.0
40.0
""
""
228.0
182.0
465.0
78.0
29.0
""
533.0
""
716.0
131.0
38.0
336.0
21.0
232.0
""
""
""
81.0
22.0
""
""
""
""
""
""
""
""
493.0
""
42.0
""
""
228.0
""
""
""
""
""
""
""
""
215.0
""
""
""
25.0
71.0
24.0
""
""
44.0
""
""
""
""
26.0
25.0
""
""
""
""
""
202.0
""
""
""
""
""
""
""
""
""
""
162.0
""
251.0
233.0
""
""
182.0
32.0
""
""
""
70.0
20.0
99.0
33.0
""
""
""
89.0
704.0
""
21.0
""
20.0
103.0
""
""
""
104.0
32.0
""
""
""
""
""
""
""
""
23.0
28.0
25.0
454.0
""
25.0
""
""
""
44.0
125.0
27.0
""
""
""
53.0
47.0
22.0
2479.0
43.0
""
25.0
22.0
462.0
151.0
375.0
62.0
122.0
139.0
""
21.0
54.0
""
55.0
135.0
""
""
""
""
95.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
20.0
""
""
""
""
""
30.0
""
86.0
""
""
""
""
""
""
""
""
""
""
89.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
73.0
""
""
""
""
""
""
103.0
""
43.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
35.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
20.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
37.0
""
""
""
""
38.0
295.0
""
37.0
48.0
""
""
""
""
21.0
""
""
""
""
""
""
""
61.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
23.0
""
""
""
""
""
""
""
27.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
2558.0
""
""
""
""
""
271.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
274.0
24.0
""
""
247.0
33.0
""
""
""
""
""
39.0
""
