work_24_white_female_n
1216.0
3014.0
320.0
364.0
1105.0
36.0
310.0
2237.0
511.0
427.0
749.0
174.0
345.0
214.0
293.0
882.0
1028.0
157.0
145.0
667.0
226.0
1754.0
1072.0
408.0
1195.0
1475.0
531.0
1931.0
326.0
550.0
487.0
25.0
138.0
278.0
1694.0
1041.0
9108.0
246.0
1652.0
654.0
1623.0
1326.0
67.0
74.0
4608.0
255.0
517.0
1859.0
5861.0
259.0
3068.0
2365.0
66.0
201.0
353.0
336.0
783.0
1409.0
3498.0
38.0
1300.0
657.0
2337.0
1254.0
200.0
66.0
468.0
""
""
5236.0
24.0
""
23.0
""
1937.0
""
""
594.0
780.0
236.0
216.0
""
""
1027.0
26.0
""
""
23.0
47.0
145.0
""
71.0
86.0
23.0
""
""
161.0
1784.0
1712.0
684.0
428.0
119.0
141.0
45750.0
3208.0
961.0
10997.0
2563.0
116.0
3164.0
1328.0
325.0
396.0
849.0
3563.0
787.0
166.0
79.0
568.0
143.0
335.0
409.0
598.0
185.0
380.0
462.0
1626.0
1373.0
781.0
323.0
100.0
222.0
303.0
1892.0
419.0
271.0
1822.0
336.0
926.0
327.0
626.0
228.0
936.0
216.0
304.0
1034.0
463.0
81.0
383.0
89.0
168.0
200.0
469.0
1475.0
282.0
273.0
795.0
854.0
165.0
153.0
150.0
210.0
402.0
208.0
236.0
211.0
529.0
414.0
1312.0
130.0
5807.0
409.0
309.0
2183.0
212.0
146.0
2546.0
249.0
385.0
223.0
768.0
415.0
3351.0
1556.0
104.0
386.0
12060.0
""
682.0
3779.0
651.0
242.0
12370.0
563.0
3498.0
7448.0
475.0
2134.0
595.0
310.0
9119.0
1507.0
830.0
553.0
51731.0
1578.0
3391.0
343.0
1401.0
2593.0
152.0
87.0
3379.0
1909.0
2084.0
29196.0
5895.0
255.0
19379.0
17014.0
700.0
20150.0
30291.0
3071.0
7016.0
4227.0
6140.0
4564.0
15133.0
3276.0
3822.0
31.0
910.0
5711.0
7449.0
6851.0
