kir_native_natam_pooled_n
21.0
""
""
42.0
""
""
84.0
""
""
""
21.0
108.0
""
""
""
""
70.0
""
""
44.0
45.0
867.0
94.0
""
79.0
27.0
42.0
30.0
91.0
""
""
""
73.0
53.0
39.0
47.0
""
""
""
""
40.0
""
""
""
""
""
95.0
182.0
34.0
32.0
65.0
30.0
""
""
""
67.0
""
44.0
""
""
""
75.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
49.0
""
""
""
""
65.0
""
""
22.0
170.0
70.0
""
""
""
""
""
""
""
""
93.0
28.0
21.0
86.0
67.0
26.0
47.0
78.0
22.0
78.0
""
""
""
21.0
50.0
""
41.0
38.0
24.0
""
""
""
""
""
""
""
""
""
""
""
""
""
124.0
""
""
""
""
""
26.0
""
""
""
35.0
""
""
""
""
""
37.0
99.0
""
""
""
38.0
""
""
82.0
77.0
29.0
""
""
""
""
""
23.0
112.0
""
200.0
126.0
57.0
350.0
35.0
376.0
65.0
84.0
78.0
35.0
""
57.0
164.0
77.0
102.0
23.0
""
56.0
""
""
76.0
""
""
""
""
""
""
46.0
""
""
""
""
""
48.0
""
40.0
33.0
""
""
""
37.0
38.0
""
""
20.0
""
28.0
""
""
28.0
29.0
""
69.0
""
""
""
""
""
""
75.0
""
""
""
43.0
26.0
37.0
""
""
""
""
""
""
""
""
""
""
""
""
20.0
""
""
""
91.0
""
""
214.0
""
89.0
""
39.0
26.0
""
32.0
""
20.0
""
20.0
41.0
36.0
23.0
131.0
""
76.0
104.0
24.0
46.0
""
""
47.0
42.0
25.0
56.0
28.0
""
""
67.0
""
""
106.0
56.0
""
""
112.0
""
103.0
65.0
""
64.0
121.0
38.0
""
20.0
21.0
""
63.0
476.0
35.0
168.0
41.0
""
""
""
50.0
""
""
""
""
""
""
143.0
178.0
219.0
103.0
71.0
45.0
""
47.0
""
""
""
""
""
""
""
20.0
""
20.0
44.0
182.0
""
181.0
29.0
""
""
112.0
""
""
""
29.0
""
""
""
22.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
229.0
""
""
""
""
""
""
""
""
""
120.0
""
""
""
125.0
""
159.0
40.0
""
""
""
""
""
""
64.0
""
23.0
""
""
42.0
28.0
44.0
""
90.0
""
""
105.0
95.0
37.0
51.0
313.0
""
""
71.0
62.0
""
""
""
25.0
""
""
""
""
23.0
37.0
""
""
70.0
85.0
""
60.0
""
24.0
""
""
""
""
""
""
""
30.0
""
""
""
196.0
82.0
""
""
75.0
24.0
21.0
""
115.0
""
""
""
""
""
67.0
93.0
43.0
""
""
103.0
""
""
""
""
""
""
99.0
""
""
30.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
50.0
298.0
""
""
""
""
""
""
""
""
""
""
""
""
48.0
""
28.0
125.0
148.0
""
40.0
""
""
289.0
""
202.0
24.0
""
""
""
24.0
""
56.0
22.0
394.0
""
34.0
776.0
1158.0
437.0
123.0
2299.0
268.0
""
95.0
78.0
90.0
""
""
""
""
""
""
25.0
""
""
39.0
27.0
""
""
""
""
""
""
""
""
""
""
""
""
""
""
74.0
""
101.0
""
""
""
36.0
""
""
""
""
""
""
""
32.0
""
37.0
239.0
63.0
""
""
""
""
""
""
""
""
""
""
""
23.0
""
""
35.0
""
""
""
""
""
20.0
""
35.0
207.0
339.0
50.0
46.0
31.0
31.0
288.0
40.0
""
343.0
76.0
233.0
1539.0
393.0
195.0
""
321.0
29.0
580.0
""
""
204.0
183.0
103.0
33.0
83.0
51.0
83.0
656.0
138.0
21.0
273.0
138.0
134.0
85.0
""
""
""
103.0
136.0
""
""
43.0
140.0
""
""
37.0
21.0
""
""
""
139.0
52.0
22.0
""
""
""
38.0
""
""
""
190.0
""
""
""
901.0
36.0
1109.0
110.0
479.0
32.0
""
1186.0
661.0
128.0
1687.0
""
""
20.0
92.0
""
""
69.0
""
""
""
""
63.0
230.0
28.0
102.0
""
""
""
50.0
""
20.0
100.0
""
""
97.0
134.0
57.0
33.0
69.0
90.0
85.0
210.0
132.0
311.0
129.0
98.0
""
""
228.0
116.0
214.0
228.0
""
70.0
245.0
71.0
59.0
788.0
61.0
""
""
27.0
173.0
133.0
107.0
288.0
42.0
230.0
36.0
175.0
97.0
""
""
58.0
""
""
""
148.0
98.0
893.0
