kfr_top01_hisp_female_n
58.0
141.0
""
""
97.0
""
""
156.0
""
""
42.0
""
""
""
""
118.0
37.0
""
""
""
""
60.0
148.0
""
87.0
54.0
20.0
70.0
""
53.0
26.0
""
""
""
80.0
33.0
425.0
""
63.0
""
78.0
72.0
""
""
376.0
""
""
144.0
326.0
""
231.0
167.0
""
""
""
""
72.0
41.0
123.0
""
58.0
20.0
94.0
31.0
""
""
""
""
""
983.0
""
""
""
""
262.0
""
""
74.0
47.0
21.0
34.0
""
""
83.0
""
""
""
""
""
""
""
""
""
""
""
""
97.0
1708.0
683.0
345.0
395.0
119.0
135.0
29116.0
990.0
364.0
11793.0
2046.0
1667.0
753.0
3683.0
""
35.0
25.0
687.0
30.0
""
""
89.0
20.0
31.0
""
20.0
""
""
27.0
91.0
126.0
51.0
""
""
21.0
""
96.0
22.0
""
153.0
""
40.0
56.0
38.0
32.0
43.0
""
""
70.0
101.0
""
""
""
""
""
20.0
59.0
""
""
41.0
51.0
""
""
""
""
30.0
""
""
""
""
46.0
102.0
""
528.0
""
22.0
107.0
21.0
""
360.0
108.0
20.0
""
48.0
""
550.0
63.0
""
80.0
11796.0
""
140.0
1165.0
140.0
274.0
8047.0
150.0
725.0
16330.0
317.0
385.0
6190.0
98.0
12750.0
2675.0
221.0
141.0
164884.0
2940.0
859.0
73.0
589.0
4799.0
43.0
""
8669.0
1347.0
291.0
31821.0
1561.0
51.0
29115.0
9720.0
1617.0
34977.0
32826.0
4809.0
8880.0
1864.0
7366.0
5899.0
17770.0
3721.0
659.0
""
184.0
3962.0
3198.0
7884.0
1111.0
455.0
""
9032.0
224.0
12389.0
2132.0
703.0
5595.0
335.0
3522.0
37.0
""
92.0
1433.0
309.0
60.0
""
""
129.0
34.0
52.0
""
207.0
8410.0
""
682.0
81.0
74.0
3603.0
219.0
248.0
""
""
26.0
""
125.0
""
3820.0
""
52.0
87.0
242.0
1211.0
307.0
""
133.0
702.0
""
77.0
130.0
246.0
442.0
416.0
""
55.0
25.0
23.0
216.0
2878.0
31.0
280.0
""
54.0
""
""
""
""
69.0
21.0
2488.0
44.0
4236.0
4232.0
291.0
297.0
3273.0
751.0
226.0
343.0
296.0
1352.0
270.0
1918.0
538.0
""
337.0
24.0
1619.0
13732.0
21.0
391.0
262.0
574.0
1645.0
95.0
154.0
""
2224.0
546.0
243.0
""
88.0
26.0
33.0
""
""
229.0
449.0
608.0
511.0
8636.0
""
378.0
48.0
21.0
""
878.0
2328.0
387.0
76.0
""
""
1170.0
927.0
370.0
48420.0
637.0
90.0
537.0
351.0
9742.0
3516.0
6804.0
1477.0
2342.0
2662.0
131.0
291.0
1134.0
266.0
874.0
2992.0
77.0
63.0
20.0
""
1853.0
32.0
52.0
""
22.0
23.0
""
""
29.0
""
85.0
134.0
23.0
22.0
111.0
""
""
""
36.0
34.0
24.0
""
""
105.0
""
118.0
46.0
""
383.0
213.0
24.0
298.0
168.0
""
715.0
""
1420.0
71.0
93.0
233.0
26.0
138.0
""
""
""
""
29.0
1465.0
""
""
116.0
199.0
""
""
44.0
""
""
""
""
229.0
137.0
199.0
22.0
1346.0
30.0
""
123.0
104.0
38.0
""
2095.0
72.0
797.0
""
31.0
30.0
""
20.0
242.0
315.0
""
61.0
""
""
""
""
""
""
""
""
30.0
23.0
322.0
""
24.0
158.0
32.0
""
""
""
""
""
""
""
28.0
""
""
""
117.0
596.0
